layer,expert,routed_tokens,share_of_tokens
4,77,29373,0.11204910278320312
4,78,361,0.001377105712890625
4,79,42176,0.160888671875
4,80,2663,0.010158538818359375
4,81,5416,0.020660400390625
4,82,1808,0.00689697265625
4,83,7601,0.028995513916015625
4,84,12,4.57763671875e-05
4,85,34797,0.13274002075195312
4,86,27295,0.10412216186523438
4,87,26457,0.10092544555664062
4,88,11502,0.04387664794921875
4,89,5160,0.019683837890625
4,90,10789,0.041156768798828125
4,91,35411,0.13508224487304688
4,92,16470,0.06282806396484375
4,93,8277,0.031574249267578125
4,94,8,3.0517578125e-05
4,95,4788,0.0182647705078125
4,96,28884,0.1101837158203125
4,97,27759,0.10589218139648438
4,98,40956,0.1562347412109375
4,99,11551,0.044063568115234375
4,100,7707,0.029399871826171875
4,101,24681,0.09415054321289062
4,102,42981,0.16395950317382812
4,103,6207,0.023677825927734375
4,104,5531,0.021099090576171875
4,105,23854,0.09099578857421875
4,106,29830,0.11379241943359375
4,107,13337,0.050876617431640625
4,108,2946,0.01123809814453125
4,109,164,0.0006256103515625
4,110,7749,0.029560089111328125
4,111,36681,0.13992691040039062
4,112,699,0.002666473388671875
4,113,68314,0.26059722900390625
4,114,8294,0.03163909912109375
4,115,24398,0.09307098388671875
4,116,41305,0.15756607055664062
4,117,113,0.000431060791015625
4,118,18779,0.07163619995117188
4,119,7029,0.026813507080078125
4,120,51383,0.19601058959960938
4,121,3548,0.0135345458984375
4,122,20621,0.07866287231445312
4,123,57,0.000217437744140625
4,124,2808,0.010711669921875
4,125,0,0.0
4,126,2195,0.008373260498046875
4,127,3054,0.01165008544921875
5,0,21419,0.08170700073242188
5,1,6148,0.0234527587890625
5,2,8093,0.030872344970703125
5,3,30,0.00011444091796875
5,4,37,0.000141143798828125
5,5,59242,0.22599029541015625
5,6,1504,0.0057373046875
5,7,25850,0.09860992431640625
5,8,4893,0.018665313720703125
5,9,5232,0.01995849609375
5,10,12893,0.049182891845703125
5,11,194,0.00074005126953125
5,12,26,9.918212890625e-05
5,13,2352,0.00897216796875
5,14,17,6.4849853515625e-05
5,15,59,0.000225067138671875
5,16,19815,0.07558822631835938
5,17,8309,0.031696319580078125
5,18,44847,0.17107772827148438
5,19,10544,0.04022216796875
5,20,11831,0.045131683349609375
5,21,21685,0.08272171020507812
5,22,43565,0.16618728637695312
5,23,189,0.000720977783203125
