layer,expert,routed_tokens,rows,f_at_k6,range_nar_over_hadamard,predicted_sqrt_1_minus_f
0,76,19986,256,0.61396262510584,0.5454584528204786,0.6213190604626257
0,77,29185,256,0.15056548029481462,0.8364026474634693,0.9216477199587624
0,78,4841,256,0.3830568722890909,0.6001873595818432,0.7854572730014721
0,79,13799,256,0.11422898000545723,0.8799004980295312,0.941154089400106
0,80,15146,256,0.17616254848560214,0.7599475112625313,0.9076549187408163
0,81,20730,256,0.22657306060322172,0.8088040829580044,0.8794469508712724
0,82,27626,256,0.28333575167888064,0.7634384494674101,0.8465602449448707
0,83,10071,256,0.26771488090301426,0.7504817899615168,0.8557365944594082
0,84,6407,256,0.609808878853516,0.6880603608403955,0.6246528004791814
0,85,7124,256,0.7755860618397329,0.49068141217971223,0.4737234828043329
0,86,18604,256,0.13315368870830502,0.837156238751694,0.9310458158929102
0,87,32011,256,0.11780998390830731,0.8695856100722962,0.9392497091251574
0,88,13941,256,0.6745241552023639,0.5374526201002893,0.5705049033949104
0,89,4784,256,0.13890901485465593,0.8743969256412036,0.9279498828844929
0,90,132,132,0.050624157440727596,0.8022695014607067,0.9743591958611939
0,91,40768,256,0.14542607049888362,0.8754447955096254,0.9244316791959892
0,92,9407,256,0.10387437855702275,0.7251757306627282,0.9466391189059203
0,93,29772,256,0.17331293118423535,0.8225626034110997,0.9092233327493111
0,94,2715,256,0.8690007211305949,0.3357580146632229,0.3619382252117136
0,95,10451,256,0.5716463160219996,0.570071297835014,0.6544873443986525
0,96,1321,256,0.6066011935560358,0.18665039280871143,0.6272151197507632
0,97,11938,256,0.26812561400005713,0.7929926196819919,0.8554965727575669
0,98,22958,256,0.6293872611506687,0.5402239084781764,0.6087797129088085
0,99,9074,256,0.7786554970735016,0.5017714628476749,0.47047263780851106
0,100,42615,256,0.6193490323153757,0.597751248043623,0.6169691788773766
0,101,19141,256,0.0979348387970312,0.9005600027412287,0.9497711099012061
0,102,24903,256,0.6437750025820067,0.5291267301066451,0.5968458740897798
0,103,23793,256,0.24453093868547585,0.7873377063681911,0.8691772323953982
0,104,12846,256,0.289559730880937,0.7258347239178954,0.8428761884874094
0,105,23872,256,0.10720336107250845,0.8356043430098093,0.9448791663104291
0,106,23434,256,0.3532122489763922,0.6612753318720967,0.8042311552182045
0,107,22347,256,0.2557540232603757,0.7736687216411825,0.8626969205576338
0,108,2152,256,0.704651678213397,0.4482079757965037,0.543459586157612
0,109,12915,256,0.46427811780774025,0.6211305052847624,0.7319302440753899
0,110,28130,256,0.2376770460510121,0.7003851365584197,0.873111077669381
0,111,20034,256,0.12328730389600502,0.8629769811547259,0.9363293737269994
0,112,19477,256,0.1341572263818374,0.8890762168177878,0.930506729485694
0,113,1867,256,0.44984832397414093,0.3086246358345278,0.741722101616137
0,114,6783,256,0.648916477524899,0.5540132000548099,0.5925230142999519
0,115,733,256,0.1797110926937964,0.4282524695677259,0.9056980221388383
0,116,10497,256,0.17203023902127385,0.8187412387529716,0.9099284372843428
0,117,16602,256,0.15094124848085833,0.8976779445678587,0.9214438406756766
0,118,24217,256,0.0990419360232068,0.8955022018341856,0.9491881077935992
0,119,16051,256,0.5337166527470594,0.6620446752709299,0.6828494323443057
0,120,35942,256,0.22010617169111626,0.8482167862061053,0.8831159767034473
0,121,11452,256,0.5330083516854195,0.6731945836735879,0.6833678718776444
0,122,35878,256,0.108185801305352,0.8765713427372702,0.9443591470911096
0,123,9528,256,0.5470883428055275,0.5589531457728613,0.6729871151771574
0,124,30037,256,0.11233246806908932,0.7943213998973827,0.9421610965917191
0,125,9526,256,0.30032628191900584,0.7782615546108353,0.8364650130645
0,126,25312,256,0.17747691967339177,0.8135033655243996,0.9069305818675475
0,127,16489,256,0.47378052836774714,0.589357054540096,0.7254098645815708
1,1,7299,256,0.5566089713123269,0.6159241135961484,0.6658761361452091
1,2,30941,256,0.10914343141069413,0.8547975902304195,0.9438519844707145
1,3,18112,256,0.16054718876646643,0.8404296535826059,0.9162165744154237
1,4,4354,256,0.15664628577850678,0.895777863068638,0.9183429175539457
1,5,3481,256,0.11579629438233231,0.8687404930204141,0.9403210651780953
1,6,21135,256,0.28538358081673215,0.8102638575465635,0.8453498797440429
1,7,18872,256,0.07429181496025608,0.9240984046189573,0.9621373005136762
1,8,18802,256,0.1552760897381433,0.8704701976986605,0.9190886302538274
1,9,34559,256,0.1337804621892597,0.8661052782449579,0.930709158551016
1,10,260,256,0.4773930908594523,0.6156551232971296,0.7229155615564985
1,11,15082,256,0.23449842537790294,0.7918947015210611,0.8749294683699349
1,12,6360,256,0.7740667066299876,0.4468545865571114,0.475324408556948
1,13,21954,256,0.07491938719655868,0.8673880814613975,0.9618111107714661
1,14,9090,256,0.06461091811472207,0.9411271053588198,0.967155148818057
1,15,12462,256,0.5415102397324479,0.6486681703056476,0.6771187194780189
1,16,26578,256,0.11028834881402381,0.9112299613196163,0.9432452762595613
1,17,1583,256,0.39884813756416804,0.9631811162463263,0.7753398367398853
1,18,19672,256,0.5634275418960716,0.6060800945718813,0.6607362999744515
1,19,15178,256,0.11085183188180867,0.8165341662539021,0.9429465351323962
1,20,14167,256,0.1084193891417252,0.8616540050593434,0.9442354636732698
1,21,6342,256,0.288332376550014,0.8309534314596634,0.843603949403976
1,22,1137,256,0.38654149731796866,0.910464394391261,0.7832359176404204
1,23,20618,256,0.09974545759465761,0.886457284841174,0.9488174441932138
