model,rotation,layer,group,module,columns,rows,hessian_sequences,dead_columns,damp,groupsize,blocksize,act_order,hessian_diag_max_over_median,hessian_diag_mean_over_median,damp_over_median_diag,null_slot_diag_share,null_slot_baseline,null_space_dc_share,hessian_participation_ratio,rows_clipped,mean_shrink,clipped_row_null_slot_mass_share,unclipped_row_null_slot_mass_share
qwen3_8b_base,nar_kmax,12,3,mlp.down_proj,12288,4096,128,0,0.5745401382446289,128,128,False,2.2163224050407937,1.027563967643239,0.010275639676432392,0.0078625491870117,0.0078125,0.12122712193669236,540.4644282216791,4096,0.622363269329071,0.007812385447323322,nan
qwen3_8b_base,nar_kmax,13,0,self_attn.k_proj,4096,1024,128,0,40.9599609375,128,128,False,14.519655079423636,1.4477862993957202,0.014477862993957202,0.008279852521287668,0.0078125,0.379994791741483,6.424479457608474,1024,0.6658008098602295,0.008016099222004414,nan
qwen3_8b_base,nar_kmax,13,0,self_attn.v_proj,4096,1024,128,0,40.9599609375,128,128,False,14.519655079423636,1.4477862993957202,0.014477862993957202,0.008279852521287668,0.0078125,0.379994791741483,6.424479457608474,1024,0.6652636528015137,0.007987353950738907,nan
qwen3_8b_base,nar_kmax,13,0,self_attn.q_proj,4096,4096,128,0,40.9599609375,128,128,False,14.519655079423636,1.4477862993957202,0.014477862993957202,0.008279852521287668,0.0078125,0.379994791741483,6.424479457608474,4096,0.6630639433860779,0.007800947409123182,nan
qwen3_8b_base,nar_kmax,13,1,self_attn.o_proj,4096,4096,128,0,0.6822429299354553,128,128,False,4.351667092565355,1.1149582954892372,0.011149582954892372,0.007247567074503805,0.0078125,0.015511408844150188,55.48552659390879,4096,0.6576342582702637,0.007700283080339432,nan
qwen3_8b_base,nar_kmax,13,2,mlp.up_proj,4096,12288,128,0,40.9599609375,128,128,False,14.870769497708181,1.4368299544925085,0.014368299544925085,0.008209325262300905,0.0078125,0.3790204039398467,6.7284572043718285,12288,0.66578209400177,0.007832146249711514,nan
qwen3_8b_base,nar_kmax,13,2,mlp.gate_proj,4096,12288,128,0,40.9599609375,128,128,False,14.870769497708181,1.4368299544925085,0.014368299544925085,0.008209325262300905,0.0078125,0.3790204039398467,6.7284572043718285,12288,0.6664811372756958,0.007815646007657051,nan
qwen3_8b_base,nar_kmax,13,3,mlp.down_proj,12288,4096,128,0,0.5979900360107422,128,128,False,1.7063889824045555,1.018215105317333,0.010182151053173329,0.007835926279254795,0.0078125,0.10421695247462738,726.392734166781,4096,0.6229809522628784,0.007798493839800358,nan
qwen3_8b_base,nar_kmax,14,0,self_attn.k_proj,4096,1024,128,0,40.959964752197266,128,128,False,13.352262153696708,1.40688192363399,0.014068819236339899,0.008245753485891152,0.0078125,0.3718322638065632,7.3344741999030285,1024,0.6632226705551147,0.007966412231326103,nan
qwen3_8b_base,nar_kmax,14,0,self_attn.v_proj,4096,1024,128,0,40.959964752197266,128,128,False,13.352262153696708,1.40688192363399,0.014068819236339899,0.008245753485891152,0.0078125,0.3718322638065632,7.3344741999030285,1024,0.664492130279541,0.007859805598855019,nan
