model,site,layer,method,seed,n,k,group_size,evaluation_tokens,evaluation_rule,f,subspace_projection_fraction,selected_numerical_rank,top8_angles_include_null_completion,sqrt_one_minus_f,mean_group_range,relative_quantization_error_nmse,paired_hadamard_range,range_over_paired_hadamard,range_reduction_vs_hadamard,nmse_delta_vs_hadamard,angle_1_degrees_vs_A_top8,angle_2_degrees_vs_A_top8,angle_3_degrees_vs_A_top8,angle_4_degrees_vs_A_top8,angle_5_degrees_vs_A_top8,angle_6_degrees_vs_A_top8,angle_7_degrees_vs_A_top8,angle_8_degrees_vs_A_top8,angles_mean_degrees_vs_A_top8,factor_file
llama31_8b,down,28,B_top1,20260902,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.1756711973061017,0.175671194420634,128,False,0.9079255490919387,0.48198015466664074,0.00676757056268879,0.5943336062631975,0.8109589455946032,0.18904105440539676,-0.003037191687175627,36.62945052057309,69.70193861216818,80.36404866210115,82.56610891144066,85.94625604786216,86.78458101169285,88.42143146703961,89.35340089576616,77.47090201608049,activations/llama31_8b/e27/factors/B_top1/down_layer_28.pt
llama31_8b,down,28,B_top1,20260903,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.17567119716044574,0.175671194420634,128,False,0.9079255491721523,0.48203352391372356,0.006769466987403861,0.5939890917836043,0.811519151751246,0.188480848248754,-0.003020816156263785,36.62945052057309,69.70193861216818,80.36404866210115,82.56610891144066,85.94625604786216,86.78458101169285,88.42143146703961,89.35340089576616,77.47090201608049,activations/llama31_8b/e27/factors/B_top1/down_layer_28.pt
llama31_8b,down,28,B_top1,20260904,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.17567119719859212,0.175671194420634,128,False,0.9079255491511448,0.4819760682999227,0.006768796346439566,0.5940389781963274,0.811354281436784,0.188645718563216,-0.0030228902846442,36.62945052057309,69.70193861216818,80.36404866210115,82.56610891144066,85.94625604786216,86.78458101169285,88.42143146703961,89.35340089576616,77.47090201608049,activations/llama31_8b/e27/factors/B_top1/down_layer_28.pt
llama31_8b,down,28,B_top1_no_bos,20260902,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.1756711973061017,0.175671194420634,128,False,0.9079255490919387,0.48198015466664074,0.00676757056268879,0.5943336062631975,0.8109589455946032,0.18904105440539676,-0.003037191687175627,36.62945052057309,69.70193861216818,80.36404866210115,82.56610891144066,85.94625604786216,86.78458101169285,88.42143146703961,89.35340089576616,77.47090201608049,activations/llama31_8b/e27/factors/B_top1_no_bos/down_layer_28.pt
llama31_8b,down,28,B_top1_no_bos,20260903,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.17567119716044574,0.175671194420634,128,False,0.9079255491721523,0.48203352391372356,0.006769466987403861,0.5939890917836043,0.811519151751246,0.188480848248754,-0.003020816156263785,36.62945052057309,69.70193861216818,80.36404866210115,82.56610891144066,85.94625604786216,86.78458101169285,88.42143146703961,89.35340089576616,77.47090201608049,activations/llama31_8b/e27/factors/B_top1_no_bos/down_layer_28.pt
llama31_8b,down,28,B_top1_no_bos,20260904,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.17567119719859212,0.175671194420634,128,False,0.9079255491511448,0.4819760682999227,0.006768796346439566,0.5940389781963274,0.811354281436784,0.188645718563216,-0.0030228902846442,36.62945052057309,69.70193861216818,80.36404866210115,82.56610891144066,85.94625604786216,86.78458101169285,88.42143146703961,89.35340089576616,77.47090201608049,activations/llama31_8b/e27/factors/B_top1_no_bos/down_layer_28.pt
llama31_8b,down,28,C_top1pct,20260902,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.23696549618508359,0.2369654898014253,-1,False,0.8735184622061039,0.4643533598492614,0.006300976065241041,0.5943336062631975,0.7813008636156862,0.21869913638431382,-0.0035037861846233765,12.414731643149308,26.87917667168961,65.65083430984635,75.7057243775481,80.302324306897,85.45655815839226,89.32167418762995,89.83842843693047,65.69618151151039,activations/llama31_8b/e27/factors/C_top1pct/down_layer_28.pt
llama31_8b,down,28,C_top1pct,20260903,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.23696549623280938,0.2369654898014253,-1,False,0.8735184621787857,0.46439521736965617,0.006301868324719047,0.5939890917836043,0.781824487677359,0.21817551232264099,-0.0034884148189485986,12.414731643149308,26.87917667168961,65.65083430984635,75.7057243775481,80.302324306897,85.45655815839226,89.32167418762995,89.83842843693047,65.69618151151039,activations/llama31_8b/e27/factors/C_top1pct/down_layer_28.pt
llama31_8b,down,28,C_top1pct,20260904,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.23696549599780514,0.2369654898014253,-1,False,0.8735184623133015,0.4644202579297923,0.006303128763462575,0.5940389781963274,0.7818009844066214,0.21819901559337862,-0.003488557867621191,12.414731643149308,26.87917667168961,65.65083430984635,75.7057243775481,80.302324306897,85.45655815839226,89.32167418762995,89.83842843693047,65.69618151151039,activations/llama31_8b/e27/factors/C_top1pct/down_layer_28.pt
llama31_8b,down,28,C_top1pct_no_bos,20260902,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.23692288084443544,0.2369228717028639,-1,False,0.873542854790516,0.4643604632226876,0.0063010739663407435,0.5943336062631975,0.7813128154443415,0.2186871845556585,-0.0035036882835236738,12.41628304665098,26.882296822163227,65.68914673228639,75.75251929456834,80.30328070284142,85.47481717987951,89.32723596742913,89.84241218145081,65.71099899090873,activations/llama31_8b/e27/factors/C_top1pct_no_bos/down_layer_28.pt
