model,site,layer,rank,eigenvalue,fraction_total_energy,cumulative_fraction_total_energy,relative_ritz_residual
llama31_8b,qkv,1,21,1.2141518694419717,0.005793419654491381,0.6768224937051214,0.12711732206868223
llama31_8b,qkv,1,22,1.1976666787295736,0.005714759290590496,0.6825372529957119,0.153037558225524
llama31_8b,qkv,1,23,1.1498002654291986,0.005486360993323241,0.6880236139890352,0.10973327608578849
llama31_8b,qkv,1,24,1.122880987213096,0.00535791357300706,0.6933815275620423,0.13356787969144554
llama31_8b,qkv,1,25,1.0513535037060437,0.00501661464721739,0.6983981422092596,0.12706734115554122
llama31_8b,qkv,1,26,1.019090513767663,0.004862669292665015,0.7032608115019247,0.13203654592516917
llama31_8b,qkv,1,27,1.0019821545828107,0.004781035432147075,0.7080418469340717,0.12472460490511163
llama31_8b,qkv,1,28,0.9274952886491823,0.004425615583969696,0.7124674625180414,0.15494845513344524
llama31_8b,qkv,1,29,0.917349634841003,0.004377204811265466,0.7168446673293069,0.1744209309169815
llama31_8b,qkv,1,30,0.8822016589905683,0.004209493523054804,0.7210541608523616,0.1324767021375254
llama31_8b,qkv,1,31,0.8485900400142102,0.0040491130806259625,0.7251032739329876,0.1709340801862315
llama31_8b,qkv,1,32,0.8181243333492902,0.0039037436023731005,0.7290070175353607,0.18231808617251774
llama31_8b,qkv,2,1,121.37540928019129,0.17969269046912256,0.17969269046912256,0.00042633492244294706
llama31_8b,qkv,2,2,18.80492983704983,0.027840140408523752,0.20753283087764632,0.013567270432787772
llama31_8b,qkv,2,3,12.543054487929687,0.018569619834886343,0.22610245071253265,0.04496217077809824
llama31_8b,qkv,2,4,11.416629875096953,0.016901981632956198,0.24300443234548885,0.046841207931036015
llama31_8b,qkv,2,5,10.000765089521247,0.014805835847171333,0.2578102681926602,0.04203548230294521
llama31_8b,qkv,2,6,9.873200204313193,0.014616979821322602,0.27242724801398277,0.049237855629563156
llama31_8b,qkv,2,7,7.625528195461094,0.011289368133271332,0.28371661614725413,0.06452921916431957
llama31_8b,qkv,2,8,7.066937513123043,0.010462391209563536,0.2941790073568177,0.08952971055901525
llama31_8b,qkv,2,9,6.697862642502002,0.009915986819417749,0.3040949941762354,0.08946099783538321
llama31_8b,qkv,2,10,6.594400711998816,0.009762814502525046,0.31385780867876045,0.11394169339865498
llama31_8b,qkv,2,11,5.825295290006838,0.008624176755787633,0.3224819854345481,0.07648924830406227
llama31_8b,qkv,2,12,5.681978091158949,0.008411999897194922,0.33089398533174297,0.13282708272481686
llama31_8b,qkv,2,13,5.570076179540635,0.008246332438798024,0.33914031777054104,0.1380340142748218
llama31_8b,qkv,2,14,5.352130746127023,0.007923670694233735,0.3470639884647748,0.10541886222731195
llama31_8b,qkv,2,15,5.110153281367,0.00756543024064029,0.3546294187054151,0.09599963604966291
llama31_8b,qkv,2,16,5.05917418249369,0.007489957198048198,0.36211937590346327,0.15141559048017486
llama31_8b,qkv,2,17,4.879918720985777,0.007224574808397233,0.36934395071186055,0.10034029834995042
llama31_8b,qkv,2,18,4.731177092921769,0.007004367243371611,0.37634831795523216,0.10569315136309368
llama31_8b,qkv,2,19,4.4738473049676415,0.006623398131015567,0.3829717160862477,0.13613959797489836
llama31_8b,qkv,2,20,4.343876531004175,0.00643098025828209,0.3894026963445298,0.11319560706476063
llama31_8b,qkv,2,21,4.240799198040367,0.006278377326629847,0.3956810736711596,0.1280026187444939
llama31_8b,qkv,2,22,4.123410449716389,0.0061045867693643,0.40178566044052394,0.1502603409486544
llama31_8b,qkv,2,23,4.093328786211143,0.006060051759504385,0.40784571220002835,0.18011154795023196
llama31_8b,qkv,2,24,4.056988628362485,0.0060062512345494205,0.4138519634345777,0.16009624050532273
llama31_8b,qkv,2,25,3.8064361596164176,0.005635315742099474,0.4194872791766771,0.16053544650415055
llama31_8b,qkv,2,26,3.730633723503132,0.005523092485592333,0.4250103716622695,0.1665594740762292
llama31_8b,qkv,2,27,3.6102549217427873,0.0053448752429725325,0.4303552469052421,0.1949506878765848
