model,site,layer,channels,activation_absmax_mean,activation_absmax_max,weight_absmax_mean,weight_absmax_max,smooth_scale_min,smooth_scale_max,smooth_scale_mean
llama31_8b,down,13,14336,1.1728441715240479,6.625,0.05310355871915817,0.9140625,1.061280369758606,12.935233116149902,4.678986072540283
llama31_8b,down,14,14336,1.447239875793457,7.25,0.05203208699822426,0.82421875,1.1705254316329956,13.096564292907715,5.186685085296631
llama31_8b,down,15,14336,1.8478723764419556,9.375,0.0529601164162159,0.63671875,1.1214169263839722,16.795063018798828,5.804718017578125
llama31_8b,down,16,14336,2.118469715118408,17.25,0.05071962624788284,0.8125,1.438389778137207,16.0,6.297782897949219
llama31_8b,down,17,14336,2.368152141571045,13.125,0.05119134858250618,0.62109375,1.3111095428466797,18.300085067749023,6.628865718841553
llama31_8b,down,18,14336,2.4494776725769043,14.875,0.04953351244330406,0.79296875,1.3589733839035034,17.39383316040039,6.825223445892334
llama31_8b,down,19,14336,2.524700164794922,15.5,0.04840001091361046,0.82421875,1.4538720846176147,19.10166358947754,6.962350368499756
llama31_8b,down,20,14336,2.566986560821533,19.5,0.04832523316144943,0.458984375,1.7066985368728638,21.24274253845215,7.000687599182129
llama31_8b,down,21,14336,2.6942954063415527,21.75,0.04850276932120323,0.83203125,1.6773184537887573,21.158411026000977,7.124454975128174
llama31_8b,down,22,14336,2.7812798023223877,27.25,0.04764555022120476,0.59375,1.7363539934158325,25.930397033691406,7.25313138961792
llama31_8b,down,23,14336,2.8177433013916016,28.875,0.047619231045246124,0.640625,1.845150351524353,27.712810516357422,7.253227710723877
llama31_8b,down,24,14336,2.8484981060028076,24.0,0.0476268008351326,0.6015625,2.1390509605407715,24.864919662475586,7.281890392303467
llama31_8b,down,25,14336,2.8374979496002197,43.0,0.047785136848688126,0.7109375,2.242447853088379,30.772144317626953,7.249854564666748
llama31_8b,down,26,14336,2.887329578399658,27.875,0.04825899377465248,0.703125,2.0325982570648193,25.298219680786133,7.301407337188721
llama31_8b,down,27,14336,3.0331332683563232,30.75,0.048786383122205734,0.53515625,2.405527114868164,25.64911460876465,7.438880443572998
llama31_8b,down,28,14336,3.3362839221954346,34.75,0.04962620511651039,0.66796875,1.825014352798462,34.15682601928711,7.762077331542969
