model,method,layer,direction,s_i,top_magnitude_channel
llama31_8b,duquant_style,5,v7,0.12208478897809982,1869
llama31_8b,duquant_style,5,v8,0.24034500122070312,1869
llama31_8b,duquant_style,5,top_magnitude_channel,0.9999999403953552,1869
llama31_8b,nar,5,v1,1.0,1869
llama31_8b,nar,5,v2,0.9999999403953552,1869
llama31_8b,nar,5,v3,1.000000238418579,1869
llama31_8b,nar,5,v4,0.9999997019767761,1869
llama31_8b,nar,5,v5,1.0000003576278687,1869
llama31_8b,nar,5,v6,1.000000238418579,1869
llama31_8b,nar,5,v7,0.9999997615814209,1869
llama31_8b,nar,5,v8,0.9999996423721313,1869
llama31_8b,nar,5,top_magnitude_channel,0.21523164212703705,1869
llama31_8b,hadamard,6,v1,0.010379448533058167,1869
llama31_8b,hadamard,6,v2,0.02933797612786293,1869
llama31_8b,hadamard,6,v3,0.0016476311720907688,1869
llama31_8b,hadamard,6,v4,0.004758313298225403,1869
llama31_8b,hadamard,6,v5,0.008949746377766132,1869
llama31_8b,hadamard,6,v6,0.00563905481249094,1869
llama31_8b,hadamard,6,v7,0.00541727477684617,1869
llama31_8b,hadamard,6,v8,0.0029018577188253403,1869
llama31_8b,hadamard,6,top_magnitude_channel,0.0,1869
llama31_8b,smoothquant_hadamard,6,v1,0.00032113181077875197,1869
llama31_8b,smoothquant_hadamard,6,v2,0.0009260647930204868,1869
llama31_8b,smoothquant_hadamard,6,v3,0.00012355498620308936,1869
llama31_8b,smoothquant_hadamard,6,v4,0.00019408967636991292,1869
llama31_8b,smoothquant_hadamard,6,v5,0.0003277287760283798,1869
llama31_8b,smoothquant_hadamard,6,v6,0.00023556515225209296,1869
llama31_8b,smoothquant_hadamard,6,v7,0.00025611097225919366,1869
llama31_8b,smoothquant_hadamard,6,v8,0.00019336202240083367,1869
llama31_8b,smoothquant_hadamard,6,top_magnitude_channel,0.0,1869
llama31_8b,duquant_style,6,v1,0.5408682823181152,1869
llama31_8b,duquant_style,6,v2,0.5123665928840637,1869
llama31_8b,duquant_style,6,v3,0.5505673289299011,1869
llama31_8b,duquant_style,6,v4,0.5943387746810913,1869
llama31_8b,duquant_style,6,v5,0.5074223279953003,1869
llama31_8b,duquant_style,6,v6,0.4522092640399933,1869
llama31_8b,duquant_style,6,v7,0.4390590786933899,1869
llama31_8b,duquant_style,6,v8,0.3699362576007843,1869
llama31_8b,duquant_style,6,top_magnitude_channel,0.9999999403953552,1869
llama31_8b,nar,6,v1,0.9999999403953552,1869
llama31_8b,nar,6,v2,0.9999992847442627,1869
llama31_8b,nar,6,v3,1.000000238418579,1869
llama31_8b,nar,6,v4,0.9999998807907104,1869
llama31_8b,nar,6,v5,1.0000001192092896,1869
llama31_8b,nar,6,v6,0.9999999403953552,1869
llama31_8b,nar,6,v7,0.9999998807907104,1869
llama31_8b,nar,6,v8,0.9999998807907104,1869
llama31_8b,nar,6,top_magnitude_channel,0.3302004635334015,1869
llama31_8b,hadamard,7,v1,0.005993805825710297,1869
llama31_8b,hadamard,7,v2,0.015841951593756676,1869
llama31_8b,hadamard,7,v3,0.004714241251349449,1869
llama31_8b,hadamard,7,v4,0.008854523301124573,1869
llama31_8b,hadamard,7,v5,0.0049211676232516766,1869
llama31_8b,hadamard,7,v6,0.0020599125418812037,1869
llama31_8b,hadamard,7,v7,0.0026255962438881397,1869
llama31_8b,hadamard,7,v8,0.009726755321025848,1869
llama31_8b,hadamard,7,top_magnitude_channel,0.0,1869
llama31_8b,smoothquant_hadamard,7,v1,0.00018280510266777128,1869
llama31_8b,smoothquant_hadamard,7,v2,0.0004815423162654042,1869
llama31_8b,smoothquant_hadamard,7,v3,0.00020677097199950367,1869
llama31_8b,smoothquant_hadamard,7,v4,0.00033198652090504766,1869
