model,row,site,layer,group,m,slots,effective_bits,rows_used,mean_group_range,hadamard_reference_range,range_ratio_vs_hadamard,measured_range_reduction,absorbed_energy_fraction,sqrt_one_minus_f,predicted_range_reduction
llama31_8b,nar_g128_m2_c32,qkv,0,128,2,64,4.375,4096,0.2108585685491562,0.6757018566131592,0.31205858987283086,0.6879414101271691,0.6880288124084473,0.5585438099124838,0.44145619008751624
llama31_8b,nar_g256_m3_c32,qkv,0,256,3,48,4.25,4096,0.23979556560516357,0.7325343489646912,0.3273506094889237,0.6726493905110763,0.6584897637367249,0.5843887715068413,0.4156112284931587
llama31_8b,hadamard_g64_m1,qkv,4,64,1,0,4.5,4096,1.6628961563110352,1.6628961563110352,1.0,0.0,0.020125282928347588,0.9898862142042653,0.010113785795734742
llama31_8b,hadamard_g128_m1,qkv,4,128,1,0,4.25,4096,1.8468718528747559,1.8468718528747559,1.0,0.0,0.007567916996777058,0.9962088551118299,0.003791144888170117
llama31_8b,hadamard_g256_m1,qkv,4,256,1,0,4.125,4096,2.0103843212127686,2.0103843212127686,1.0,0.0,0.007140832953155041,0.996423186726827,0.0035768132731730518
llama31_8b,hadamard_g256_m2,qkv,4,256,2,0,4.1875,4096,2.008415699005127,2.0103843212127686,0.9990207731990001,0.0009792268009999332,0.007567917928099632,0.9962088546443966,0.0037911453556034314
llama31_8b,hadamard_g256_m3,qkv,4,256,3,0,4.25,4096,2.0018491744995117,2.0103843212127686,0.9957544701163865,0.004245529883613493,0.012067382223904133,0.9939479955088676,0.006052004491132412
llama31_8b,nar_g64_m1,qkv,4,64,1,64,4.5,4096,1.10140061378479,1.6628961563110352,0.6623387814114229,0.3376612185885771,0.5285435914993286,0.6866268335134241,0.31337316648657587
llama31_8b,nar_g128_m1,qkv,4,128,1,32,4.25,4096,1.2768715620040894,1.8468718528747559,0.6913698749680817,0.3086301250319183,0.45847201347351074,0.7358858515602058,0.2641141484397942
llama31_8b,nar_g256_m1,qkv,4,256,1,16,4.125,4096,1.4429349899291992,2.0103843212127686,0.7177408690984745,0.2822591309015255,0.39299875497817993,0.7791028462416372,0.22089715375836283
llama31_8b,nar_g256_m2,qkv,4,256,2,32,4.1875,4096,1.390467882156372,2.0103843212127686,0.6916428204720426,0.30835717952795744,0.45847201347351074,0.7358858515602058,0.2641141484397942
llama31_8b,nar_g256_m3,qkv,4,256,3,48,4.25,4096,1.3542759418487549,2.0103843212127686,0.6736403221806789,0.32635967781932107,0.49964115023612976,0.707360480776153,0.292639519223847
llama31_8b,nar_g128_m2,qkv,4,128,2,64,4.375,4096,1.2189925909042358,1.8468718528747559,0.6600309539651102,0.33996904603488975,0.5285435914993286,0.6866268335134241,0.31337316648657587
llama31_8b,nar_g128_m2_c32,qkv,4,128,2,64,4.375,4096,1.2189925909042358,1.8468718528747559,0.6600309539651102,0.33996904603488975,0.5285435914993286,0.6866268335134241,0.31337316648657587
llama31_8b,nar_g256_m3_c32,qkv,4,256,3,48,4.25,4096,1.3542759418487549,2.0103843212127686,0.6736403221806789,0.32635967781932107,0.49964115023612976,0.707360480776153,0.292639519223847
llama31_8b,hadamard_g64_m1,qkv,8,64,1,0,4.5,4096,2.0920352935791016,2.0920352935791016,1.0,0.0,0.005123365204781294,0.997435027856561,0.0025649721434389816
llama31_8b,hadamard_g128_m1,qkv,8,128,1,0,4.25,4096,2.3133296966552734,2.3133296966552734,1.0,0.0,0.002035886747762561,0.9989815379936896,0.0010184620063103944
llama31_8b,hadamard_g256_m1,qkv,8,256,1,0,4.125,4096,2.515420913696289,2.515420913696289,1.0,0.0,0.001535911113023758,0.999231749338949,0.0007682506610510176
llama31_8b,hadamard_g256_m2,qkv,8,256,2,0,4.1875,4096,2.5119409561157227,2.515420913696289,0.9986165505893593,0.0013834494106406937,0.002035886747762561,0.9989815379936896,0.0010184620063103944
llama31_8b,hadamard_g256_m3,qkv,8,256,3,0,4.25,4096,2.506625175476074,2.515420913696289,0.9965032737971118,0.003496726202888221,0.0038423072546720505,0.9980769974031702,0.0019230025968297593
llama31_8b,nar_g64_m1,qkv,8,64,1,64,4.5,4096,1.470379114151001,2.0920352935791016,0.7028462276252725,0.2971537723747275,0.5037139654159546,0.7044757161066983,0.29552428389330165
llama31_8b,nar_g128_m1,qkv,8,128,1,32,4.25,4096,1.6951274871826172,2.3133296966552734,0.7327651953949825,0.2672348046050174,0.44171303510665894,0.7471860309811347,0.2528139690188653
llama31_8b,nar_g256_m1,qkv,8,256,1,16,4.125,4096,1.9193763732910156,2.515420913696289,0.763043816182074,0.23695618381792607,0.3726498484611511,0.7920543867303866,0.20794561326961336
llama31_8b,nar_g256_m2,qkv,8,256,2,32,4.1875,4096,1.8436682224273682,2.515420913696289,0.7329462088784923,0.26705379112150773,0.44171303510665894,0.7471860309811347,0.2528139690188653
llama31_8b,nar_g256_m3,qkv,8,256,3,48,4.25,4096,1.7982958555221558,2.515420913696289,0.7149085251420794,0.28509147485792063,0.47992169857025146,0.7211645453221813,0.2788354546778187
llama31_8b,nar_g128_m2,qkv,8,128,2,64,4.375,4096,1.624862551689148,2.3133296966552734,0.7023912562219102,0.2976087437780898,0.5037139654159546,0.7044757161066983,0.29552428389330165
llama31_8b,nar_g128_m2_c32,qkv,8,128,2,64,4.375,4096,1.624862551689148,2.3133296966552734,0.7023912562219102,0.2976087437780898,0.5037139654159546,0.7044757161066983,0.29552428389330165
llama31_8b,nar_g256_m3_c32,qkv,8,256,3,48,4.25,4096,1.7982958555221558,2.515420913696289,0.7149085251420794,0.28509147485792063,0.47992169857025146,0.7211645453221813,0.2788354546778187
llama31_8b,hadamard_g64_m1,qkv,12,64,1,0,4.5,4096,2.007629156112671,2.007629156112671,1.0,0.0,0.0040750824846327305,0.9979603787302216,0.0020396212697784133
llama31_8b,hadamard_g128_m1,qkv,12,128,1,0,4.25,4096,2.2209198474884033,2.2209198474884033,1.0,0.0,0.0011660164454951882,0.9994168217288044,0.0005831782711955835
llama31_8b,hadamard_g256_m1,qkv,12,256,1,0,4.125,4096,2.4152305126190186,2.4152305126190186,1.0,0.0,0.0007444476941600442,0.9996277068518259,0.00037229314817410764
llama31_8b,hadamard_g256_m2,qkv,12,256,2,0,4.1875,4096,2.412374496459961,2.4152305126190186,0.9988174974835173,0.0011825025164826281,0.00116601656191051,0.9994168216705628,0.0005831783294372173
llama31_8b,hadamard_g256_m3,qkv,12,256,3,0,4.25,4096,2.407010316848755,2.4152305126190186,0.9965965170913025,0.0034034829086975584,0.0032493420876562595,0.998374007029602,0.0016259929703980047
llama31_8b,nar_g64_m1,qkv,12,64,1,64,4.5,4096,1.4305307865142822,2.007629156112671,0.7125473258638005,0.28745267413619946,0.5079419016838074,0.7014685298117034,0.2985314701882966
llama31_8b,nar_g128_m1,qkv,12,128,1,32,4.25,4096,1.6449885368347168,2.2209198474884033,0.7406789302617127,0.2593210697382872,0.4525752663612366,0.7398815673057164,0.2601184326942836
llama31_8b,nar_g256_m1,qkv,12,256,1,16,4.125,4096,1.8605762720108032,2.4152305126190186,0.7703514270334547,0.2296485729665453,0.38372093439102173,0.7850344359383086,0.21496556406169143
llama31_8b,nar_g256_m2,qkv,12,256,2,32,4.1875,4096,1.7892314195632935,2.4152305126190186,0.7408118646294731,0.2591881353705268,0.4525752663612366,0.7398815673057164,0.2601184326942836
llama31_8b,nar_g256_m3,qkv,12,256,3,48,4.25,4096,1.7473258972167969,2.4152305126190186,0.7234613375772726,0.2765386624227274,0.4872826635837555,0.7160428314118119,0.2839571685881881
llama31_8b,nar_g128_m2,qkv,12,128,2,64,4.375,4096,1.578240156173706,2.2209198474884033,0.7106245450318742,0.2893754549681258,0.5079418420791626,0.7014685722973178,0.29853142770268215
llama31_8b,nar_g128_m2_c32,qkv,12,128,2,64,4.375,4096,1.578240156173706,2.2209198474884033,0.7106245450318742,0.2893754549681258,0.5079418420791626,0.7014685722973178,0.29853142770268215
llama31_8b,nar_g256_m3_c32,qkv,12,256,3,48,4.25,4096,1.7473258972167969,2.4152305126190186,0.7234613375772726,0.2765386624227274,0.4872826635837555,0.7160428314118119,0.2839571685881881
llama31_8b,hadamard_g64_m1,qkv,16,64,1,0,4.5,4096,2.327108383178711,2.327108383178711,1.0,0.0,0.004429471679031849,0.9977828061862802,0.0022171938137197644
llama31_8b,hadamard_g128_m1,qkv,16,128,1,0,4.25,4096,2.5744786262512207,2.5744786262512207,1.0,0.0,0.0011166277108713984,0.9994415302003057,0.0005584697996943166
llama31_8b,hadamard_g256_m1,qkv,16,256,1,0,4.125,4096,2.8000476360321045,2.8000476360321045,1.0,0.0,0.0007507916889153421,0.9996245336680591,0.00037546633194085466
llama31_8b,hadamard_g256_m2,qkv,16,256,2,0,4.1875,4096,2.7965009212493896,2.8000476360321045,0.9987333376985897,0.0012666623014102815,0.0011166278272867203,0.9994415301420655,0.0005584698579345071
llama31_8b,hadamard_g256_m3,qkv,16,256,3,0,4.25,4096,2.789486885070801,2.8000476360321045,0.9962283673943958,0.003771632605604223,0.0031835646368563175,0.9984069487754699,0.0015930512245301287
llama31_8b,nar_g64_m1,qkv,16,64,1,64,4.5,4096,1.5720800161361694,2.327108383178711,0.6755508370387067,0.32444916296129334,0.537301778793335,0.6802192449546434,0.31978075504535663
llama31_8b,nar_g128_m1,qkv,16,128,1,32,4.25,4096,1.8296703100204468,2.5744786262512207,0.7106954749454212,0.2893045250545788,0.46257302165031433,0.7330941128870738,0.2669058871129262
llama31_8b,nar_g256_m1,qkv,16,256,1,16,4.125,4096,2.0890133380889893,2.8000476360321045,0.7460634994943484,0.25393650050565164,0.36753422021865845,0.7952771716711989,0.20472282832880107
llama31_8b,nar_g256_m2,qkv,16,256,2,32,4.1875,4096,1.9903396368026733,2.8000476360321045,0.7108234914257197,0.2891765085742803,0.46257302165031433,0.7330941128870738,0.2669058871129262
llama31_8b,nar_g256_m3,qkv,16,256,3,48,4.25,4096,1.9350401163101196,2.8000476360321045,0.6910739986739044,0.30892600132609566,0.5091012716293335,0.7006416547498917,0.2993583452501083
llama31_8b,nar_g128_m2,qkv,16,128,2,64,4.375,4096,1.740859866142273,2.5744786262512207,0.6761989974945699,0.3238010025054301,0.537301778793335,0.6802192449546434,0.31978075504535663
llama31_8b,nar_g128_m2_c32,qkv,16,128,2,64,4.375,4096,1.740859866142273,2.5744786262512207,0.6761989974945699,0.3238010025054301,0.537301778793335,0.6802192449546434,0.31978075504535663
llama31_8b,nar_g256_m3_c32,qkv,16,256,3,48,4.25,4096,1.9350401163101196,2.8000476360321045,0.6910739986739044,0.30892600132609566,0.5091012716293335,0.7006416547498917,0.2993583452501083
llama31_8b,hadamard_g64_m1,qkv,20,64,1,0,4.5,4096,2.4181861877441406,2.4181861877441406,1.0,0.0,0.0054158493876457214,0.9972883989159577,0.0027116010840423366
llama31_8b,hadamard_g128_m1,qkv,20,128,1,0,4.25,4096,2.675381660461426,2.675381660461426,1.0,0.0,0.001681524678133428,0.9991588839228056,0.0008411160771943926
llama31_8b,hadamard_g256_m1,qkv,20,256,1,0,4.125,4096,2.911299705505371,2.911299705505371,1.0,0.0,0.0012416124809533358,0.9993790009396069,0.0006209990603931459
llama31_8b,hadamard_g256_m2,qkv,20,256,2,0,4.1875,4096,2.9077816009521484,2.911299705505371,0.9987915690897197,0.0012084309102803107,0.001681524678133428,0.9991588839228056,0.0008411160771943926
llama31_8b,hadamard_g256_m3,qkv,20,256,3,0,4.25,4096,2.9010462760925293,2.911299705505371,0.9964780577576907,0.003521942242309233,0.0038238149136304855,0.9980862613453656,0.0019137386546344004
llama31_8b,nar_g64_m1,qkv,20,64,1,64,4.5,4096,1.7281334400177002,2.4181861877441406,0.7146403567997501,0.28535964320024987,0.477032333612442,0.7231650339912447,0.27683496600875535
llama31_8b,nar_g128_m1,qkv,20,128,1,32,4.25,4096,2.004594087600708,2.675381660461426,0.749274063295692,0.250725936704308,0.39910072088241577,0.7751769340722053,0.22482306592779466
llama31_8b,nar_g256_m1,qkv,20,256,1,16,4.125,4096,2.2647368907928467,2.911299705505371,0.7779126575357902,0.22208734246420977,0.31669503450393677,0.8266226258070022,0.1733773741929978
llama31_8b,nar_g256_m2,qkv,20,256,2,32,4.1875,4096,2.1804418563842773,2.911299705505371,0.7489582237998322,0.25104177620016777,0.39910072088241577,0.7751769340722053,0.22482306592779466
llama31_8b,nar_g256_m3,qkv,20,256,3,48,4.25,4096,2.1194634437561035,2.911299705505371,0.7280127977714294,0.27198720222857065,0.44586458802223206,0.744402721635116,0.255597278364884
llama31_8b,nar_g128_m2,qkv,20,128,2,64,4.375,4096,1.9153097867965698,2.675381660461426,0.7159015160723776,0.2840984839276223,0.4770323634147644,0.7231650133857663,0.27683498661423367
llama31_8b,nar_g128_m2_c32,qkv,20,128,2,64,4.375,4096,1.9153097867965698,2.675381660461426,0.7159015160723776,0.2840984839276223,0.4770323634147644,0.7231650133857663,0.27683498661423367
llama31_8b,nar_g256_m3_c32,qkv,20,256,3,48,4.25,4096,2.1194634437561035,2.911299705505371,0.7280127977714294,0.27198720222857065,0.44586458802223206,0.744402721635116,0.255597278364884
llama31_8b,hadamard_g64_m1,qkv,24,64,1,0,4.5,4096,2.491523265838623,2.491523265838623,1.0,0.0,0.006849294062703848,0.9965694686961347,0.0034305313038652807
llama31_8b,hadamard_g128_m1,qkv,24,128,1,0,4.25,4096,2.7577812671661377,2.7577812671661377,1.0,0.0,0.0022783204913139343,0.99886019017112,0.0011398098288799563
llama31_8b,hadamard_g256_m1,qkv,24,256,1,0,4.125,4096,2.99912428855896,2.99912428855896,1.0,0.0,0.0018701108638197184,0.9990645069945084,0.0009354930054915611
llama31_8b,hadamard_g256_m2,qkv,24,256,2,0,4.1875,4096,2.9957399368286133,2.99912428855896,0.998871553358673,0.001128446641327031,0.0022783204913139343,0.99886019017112,0.0011398098288799563
llama31_8b,hadamard_g256_m3,qkv,24,256,3,0,4.25,4096,2.9871315956115723,2.99912428855896,0.9960012684392117,0.003998731560788375,0.00495546031743288,0.9975191926387016,0.0024808073612984094
llama31_8b,nar_g64_m1,qkv,24,64,1,64,4.5,4096,1.7906250953674316,2.491523265838623,0.7186868852154685,0.2813131147845315,0.4742077589035034,0.7251153295142068,0.27488467048579324
llama31_8b,nar_g128_m1,qkv,24,128,1,32,4.25,4096,2.0715832710266113,2.7577812671661377,0.7511775120422604,0.24882248795773967,0.3999660015106201,0.7746186148611327,0.2253813851388673
llama31_8b,nar_g256_m1,qkv,24,256,1,16,4.125,4096,2.330601692199707,2.99912428855896,0.7770940674551139,0.22290593254488605,0.32352307438850403,0.8224821734308264,0.1775178265691736
llama31_8b,nar_g256_m2,qkv,24,256,2,32,4.1875,4096,2.256071090698242,2.99912428855896,0.752243279581539,0.24775672041846092,0.39996597170829773,0.7746186340979039,0.22538136590209612
llama31_8b,nar_g256_m3,qkv,24,256,3,48,4.25,4096,2.194326400756836,2.99912428855896,0.7316557066766917,0.26834429332330834,0.4442347288131714,0.745496660748275,0.25450333925172497
llama31_8b,nar_g128_m2,qkv,24,128,2,64,4.375,4096,1.9806711673736572,2.7577812671661377,0.7182118433232273,0.28178815667677276,0.47420772910118103,0.7251153500642632,0.2748846499357368
llama31_8b,nar_g128_m2_c32,qkv,24,128,2,64,4.375,4096,1.9806711673736572,2.7577812671661377,0.7182118433232273,0.28178815667677276,0.47420772910118103,0.7251153500642632,0.2748846499357368
llama31_8b,nar_g256_m3_c32,qkv,24,256,3,48,4.25,4096,2.194326400756836,2.99912428855896,0.7316557066766917,0.26834429332330834,0.4442347288131714,0.745496660748275,0.25450333925172497
llama31_8b,hadamard_g64_m1,qkv,28,64,1,0,4.5,4096,2.503819465637207,2.503819465637207,1.0,0.0,0.007319093216210604,0.9963337326336941,0.003666267366305931
llama31_8b,hadamard_g128_m1,qkv,28,128,1,0,4.25,4096,2.771672487258911,2.771672487258911,1.0,0.0,0.002673028502613306,0.9986625914178355,0.0013374085821644677
llama31_8b,hadamard_g256_m1,qkv,28,256,1,0,4.125,4096,3.016395092010498,3.016395092010498,1.0,0.0,0.002189438324421644,0.9989046809759069,0.0010953190240930999
llama31_8b,hadamard_g256_m2,qkv,28,256,2,0,4.1875,4096,3.012723684310913,3.016395092010498,0.9987828491999243,0.0012171508000756895,0.0026730289682745934,0.998662591184693,0.001337408815306973
llama31_8b,hadamard_g256_m3,qkv,28,256,3,0,4.25,4096,3.002211332321167,3.016395092010498,0.9952977778915967,0.004702222108403328,0.005682575516402721,0.9971546642741022,0.0028453357258978462
llama31_8b,nar_g64_m1,qkv,28,64,1,64,4.5,4096,1.7691359519958496,2.503819465637207,0.7065748854003797,0.29342511459962023,0.4846474826335907,0.7178805731919546,0.28211942680804536
llama31_8b,nar_g128_m1,qkv,28,128,1,32,4.25,4096,2.0475685596466064,2.771672487258911,0.7387483799255017,0.26125162007449826,0.4181026518344879,0.7628219636098007,0.2371780363901993
llama31_8b,nar_g256_m1,qkv,28,256,1,16,4.125,4096,2.299997568130493,3.016395092010498,0.7624987768420917,0.2375012231579084,0.3523978590965271,0.8047373117381056,0.1952626882618944
llama31_8b,nar_g256_m2,qkv,28,256,2,32,4.1875,4096,2.230116367340088,3.016395092010498,0.7393316522914984,0.2606683477085016,0.4181026220321655,0.7628219831440586,0.23717801685594142
llama31_8b,nar_g256_m3,qkv,28,256,3,48,4.25,4096,2.169149398803711,3.016395092010498,0.7191197879048139,0.2808802120951861,0.4576312005519867,0.7364569230090877,0.2635430769909123
llama31_8b,nar_g128_m2,qkv,28,128,2,64,4.375,4096,1.9574768543243408,2.771672487258911,0.7062439243174139,0.2937560756825861,0.4846474826335907,0.7178805731919546,0.28211942680804536
llama31_8b,nar_g128_m2_c32,qkv,28,128,2,64,4.375,4096,1.9574768543243408,2.771672487258911,0.7062439243174139,0.2937560756825861,0.4846474826335907,0.7178805731919546,0.28211942680804536
llama31_8b,nar_g256_m3_c32,qkv,28,256,3,48,4.25,4096,2.169149398803711,3.016395092010498,0.7191197879048139,0.2808802120951861,0.4576312005519867,0.7364569230090877,0.2635430769909123
llama31_8b,hadamard_g64_m1,down,0,64,1,0,4.5,4096,0.028987785801291466,0.028987785801291466,1.0,0.0,0.0036150545347481966,0.9981908361957906,0.0018091638042093683
llama31_8b,hadamard_g128_m1,down,0,128,1,0,4.25,4096,0.031807005405426025,0.031807005405426025,1.0,0.0,0.0020673107355833054,0.998965809857583,0.001034190142417013
llama31_8b,hadamard_g256_m1,down,0,256,1,0,4.125,4096,0.03441733866930008,0.03441733866930008,1.0,0.0,0.0008345364476554096,0.9995826446834422,0.00041735531655784364
llama31_8b,hadamard_g256_m2,down,0,256,2,0,4.1875,4096,0.03433366119861603,0.03441733866930008,0.9975687408172936,0.002431259182706389,0.0020673107355833054,0.998965809857583,0.001034190142417013
llama31_8b,hadamard_g256_m3,down,0,256,3,0,4.25,4096,0.03425963968038559,0.03441733866930008,0.9954180365184611,0.004581963481538904,0.0030689509585499763,0.9984643454032047,0.0015356545967952773
llama31_8b,nar_g64_m1,down,0,64,1,224,4.5,4096,0.018277663737535477,0.028987785801291466,0.6305298329036628,0.36947016709633723,0.3678739368915558,0.79506355916269,0.20493644083731
llama31_8b,nar_g128_m1,down,0,128,1,112,4.25,4096,0.02092401124536991,0.031807005405426025,0.6578428550145887,0.34215714498541133,0.31630492210388184,0.8268585597888662,0.17314144021113376
llama31_8b,nar_g256_m1,down,0,256,1,56,4.125,4096,0.023822171613574028,0.03441733866930008,0.6921561205667295,0.30784387943327046,0.26956403255462646,0.8546554671008508,0.14534453289914917
llama31_8b,nar_g256_m2,down,0,256,2,112,4.1875,4096,0.02334190346300602,0.03441733866930008,0.678201870495779,0.321798129504221,0.31630492210388184,0.8268585597888662,0.17314144021113376
llama31_8b,nar_g256_m3,down,0,256,3,168,4.25,4096,0.023113464936614037,0.03441733866930008,0.6715645610690699,0.32843543893093,0.3463835120201111,0.808465514403607,0.19153448559639297
llama31_8b,nar_g128_m2,down,0,128,2,224,4.375,4096,0.020656105130910873,0.031807005405426025,0.6494199899556437,0.35058001004435635,0.3678739368915558,0.79506355916269,0.20493644083731
llama31_8b,nar_g128_m2_c32,down,0,128,2,224,4.375,4096,0.020656105130910873,0.031807005405426025,0.6494199899556437,0.35058001004435635,0.3678739368915558,0.79506355916269,0.20493644083731
llama31_8b,nar_g256_m3_c32,down,0,256,3,168,4.25,4096,0.023113464936614037,0.03441733866930008,0.6715645610690699,0.32843543893093,0.3463835120201111,0.808465514403607,0.19153448559639297
llama31_8b,hadamard_g64_m1,down,4,64,1,0,4.5,4096,0.11725655943155289,0.11725655943155289,1.0,0.0,0.0035833169240504503,0.9982067336358483,0.0017932663641516688
llama31_8b,hadamard_g128_m1,down,4,128,1,0,4.25,4096,0.12969404458999634,0.12969404458999634,1.0,0.0,0.0014779528137296438,0.9992607503481112,0.0007392496518887626
llama31_8b,hadamard_g256_m1,down,4,256,1,0,4.125,4096,0.14116056263446808,0.14116056263446808,1.0,0.0,0.000697698793374002,0.9996510897341262,0.00034891026587380303
llama31_8b,hadamard_g256_m2,down,4,256,2,0,4.1875,4096,0.1408812254667282,0.14116056263446808,0.9980211387477733,0.001978861252226694,0.0014779529301449656,0.9992607502898605,0.0007392497101395001
llama31_8b,hadamard_g256_m3,down,4,256,3,0,4.25,4096,0.14062951505184174,0.14116056263446808,0.9962379890479647,0.0037620109520353634,0.0022023816127330065,0.9988982022144534,0.0011017977855466432
llama31_8b,nar_g64_m1,down,4,64,1,224,4.5,4096,0.09260345250368118,0.11725655943155289,0.789750722284644,0.21024927771535595,0.2801653742790222,0.8484306840991654,0.15156931590083456
llama31_8b,nar_g128_m1,down,4,128,1,112,4.25,4096,0.10699748247861862,0.12969404458999634,0.8249991957369462,0.17500080426305376,0.22685517370700836,0.8792865439053367,0.12071345609466333
llama31_8b,nar_g256_m1,down,4,256,1,56,4.125,4096,0.12067297846078873,0.14116056263446808,0.85486325790064,0.14513674209936003,0.17718997597694397,0.9070887630342778,0.09291123696572223
llama31_8b,nar_g256_m2,down,4,256,2,112,4.1875,4096,0.11816747486591339,0.14116056263446808,0.8371139407534472,0.16288605924655275,0.22685517370700836,0.8792865439053367,0.12071345609466333
llama31_8b,nar_g256_m3,down,4,256,3,168,4.25,4096,0.11595501750707626,0.14116056263446808,0.8214406017021838,0.1785593982978162,0.25833311676979065,0.8612008379177353,0.13879916208226473
llama31_8b,nar_g128_m2,down,4,128,2,224,4.375,4096,0.10378725826740265,0.12969404458999634,0.8002469087575055,0.1997530912424945,0.2801653742790222,0.8484306840991654,0.15156931590083456
llama31_8b,nar_g128_m2_c32,down,4,128,2,224,4.375,4096,0.10378725826740265,0.12969404458999634,0.8002469087575055,0.1997530912424945,0.2801653742790222,0.8484306840991654,0.15156931590083456
llama31_8b,nar_g256_m3_c32,down,4,256,3,168,4.25,4096,0.11595501750707626,0.14116056263446808,0.8214406017021838,0.1785593982978162,0.25833311676979065,0.8612008379177353,0.13879916208226473
llama31_8b,hadamard_g64_m1,down,8,64,1,0,4.5,4096,0.17541998624801636,0.17541998624801636,1.0,0.0,0.004757988266646862,0.9976181693079538,0.0023818306920462273
llama31_8b,hadamard_g128_m1,down,8,128,1,0,4.25,4096,0.1941668689250946,0.1941668689250946,1.0,0.0,0.0021912241354584694,0.9989037870908998,0.0010962129091002248
llama31_8b,hadamard_g256_m1,down,8,256,1,0,4.125,4096,0.21150249242782593,0.21150249242782593,1.0,0.0,0.0008304191287606955,0.9995847042003191,0.0004152957996809148
llama31_8b,hadamard_g256_m2,down,8,256,2,0,4.1875,4096,0.21107415854930878,0.21150249242782593,0.9979748045822046,0.0020251954177954545,0.0021912241354584694,0.9989037870908998,0.0010962129091002248
llama31_8b,hadamard_g256_m3,down,8,256,3,0,4.25,4096,0.2106185108423233,0.21150249242782593,0.9958204672892719,0.0041795327107281175,0.0031985777895897627,0.9983994301933521,0.0016005698066479113
llama31_8b,nar_g64_m1,down,8,64,1,224,4.5,4096,0.14170239865779877,0.17541998624801636,0.8077893613413798,0.19221063865862018,0.2707391679286957,0.8539676996651011,0.1460323003348989
llama31_8b,nar_g128_m1,down,8,128,1,112,4.25,4096,0.1631915271282196,0.1941668689250946,0.8404705088548108,0.15952949114518925,0.2176283299922943,0.8845177612731729,0.11548223872682706
llama31_8b,nar_g256_m1,down,8,256,1,56,4.125,4096,0.18585792183876038,0.21150249242782593,0.8787505040971721,0.12124949590282783,0.16814786195755005,0.9120592842806052,0.08794071571939477
llama31_8b,nar_g256_m2,down,8,256,2,112,4.1875,4096,0.179677352309227,0.21150249242782593,0.8495282975000444,0.15047170249995562,0.2176283448934555,0.8845177528498478,0.1154822471501522
llama31_8b,nar_g256_m3,down,8,256,3,168,4.25,4096,0.17654572427272797,0.21150249242782593,0.83472172004296,0.16527827995704006,0.24895644187927246,0.8666276929112798,0.13337230708872017
llama31_8b,nar_g128_m2,down,8,128,2,224,4.375,4096,0.15843573212623596,0.1941668689250946,0.8159771695518099,0.18402283044819015,0.2707391679286957,0.8539676996651011,0.1460323003348989
llama31_8b,nar_g128_m2_c32,down,8,128,2,224,4.375,4096,0.15843573212623596,0.1941668689250946,0.8159771695518099,0.18402283044819015,0.2707391679286957,0.8539676996651011,0.1460323003348989
llama31_8b,nar_g256_m3_c32,down,8,256,3,168,4.25,4096,0.17654572427272797,0.21150249242782593,0.83472172004296,0.16527827995704006,0.24895644187927246,0.8666276929112798,0.13337230708872017
