model,method,site,layer,mean_group_range,nmse,groups_observed
llama31_8b,hadamard,qkv,30,2.79450520839562,0.009909741007719387,8388608
llama31_8b,hadamard,qkv,31,2.323819910728105,0.009931849450589341,8388608
llama31_8b,hadamard,down,0,0.03174456965026013,0.008494703802431074,29360128
llama31_8b,hadamard,down,1,0.047154944426242205,0.001923795664933611,29360128
llama31_8b,hadamard,down,2,0.06703566214047564,0.009523288953793488,29360128
llama31_8b,hadamard,down,3,0.09501530208238305,0.009833275422450174,29360128
llama31_8b,hadamard,down,4,0.12887800287148352,0.009815049726859123,29360128
llama31_8b,hadamard,down,5,0.15628994676712704,0.00984269379492479,29360128
llama31_8b,hadamard,down,6,0.17574769645176275,0.009888044503086597,29360128
llama31_8b,hadamard,down,7,0.1828368913013781,0.00990738439692419,29360128
llama31_8b,hadamard,down,8,0.19112013829168945,0.009914157878841947,29360128
llama31_8b,hadamard,down,9,0.20450185050069614,0.009918007742108534,29360128
llama31_8b,hadamard,down,10,0.20533378345029313,0.009909067356460853,29360128
llama31_8b,hadamard,down,11,0.211818563728939,0.009921585137081666,29360128
llama31_8b,hadamard,down,12,0.21963562165010814,0.009921498389097921,29360128
llama31_8b,hadamard,down,13,0.24093169964304678,0.009914574875752934,29360128
llama31_8b,hadamard,down,14,0.2616480610202281,0.009880350526279525,29360128
llama31_8b,hadamard,down,15,0.2946225936053618,0.009851114113600372,29360128
llama31_8b,hadamard,down,16,0.30421361957229615,0.00981157879300386,29360128
llama31_8b,hadamard,down,17,0.333717560148125,0.009765770226958096,29360128
llama31_8b,hadamard,down,18,0.3317938373938359,0.009783142292230037,29360128
llama31_8b,hadamard,down,19,0.3392117131170827,0.009784318348149088,29360128
llama31_8b,hadamard,down,20,0.3492191331379895,0.009744120453993291,29360128
llama31_8b,hadamard,down,21,0.387349696152648,0.009760898229494386,29360128
llama31_8b,hadamard,down,22,0.3950068629546176,0.009771624279101354,29360128
llama31_8b,hadamard,down,23,0.39775452641210735,0.00976553705783612,29360128
llama31_8b,hadamard,down,24,0.4114063213780122,0.00976875544153659,29360128
llama31_8b,hadamard,down,25,0.42940822237718734,0.009755895222805637,29360128
llama31_8b,hadamard,down,26,0.46091514949423434,0.009756582997461058,29360128
llama31_8b,hadamard,down,27,0.5423450247269075,0.009676061914367453,29360128
llama31_8b,hadamard,down,28,0.5997052365596208,0.009809470617568695,29360128
llama31_8b,hadamard,down,29,0.7256429321711967,0.009824983041583302,29360128
llama31_8b,hadamard,down,30,1.084431911620135,0.009800932109729321,29360128
llama31_8b,hadamard,down,31,2.557960711631931,0.009781558782385322,29360128
llama31_8b,smoothquant_hadamard,qkv,0,0.3068783296782396,0.009790026832230491,8388608
llama31_8b,smoothquant_hadamard,qkv,1,0.36226380084724497,0.00991623729244099,8388608
llama31_8b,smoothquant_hadamard,qkv,2,0.4960878320180626,0.009936172598500487,8388608
llama31_8b,smoothquant_hadamard,qkv,3,0.4855962963162206,0.009953279650504897,8388608
llama31_8b,smoothquant_hadamard,qkv,4,0.4720996146214276,0.009933080531779753,8388608
llama31_8b,smoothquant_hadamard,qkv,5,0.5221709635148031,0.009937813135098098,8388608
llama31_8b,smoothquant_hadamard,qkv,6,0.49407917641736177,0.00993514341434839,8388608
llama31_8b,smoothquant_hadamard,qkv,7,0.4866624550400669,0.009932203359264407,8388608
llama31_8b,smoothquant_hadamard,qkv,8,0.5502757883886815,0.009940327405494193,8388608
llama31_8b,smoothquant_hadamard,qkv,9,0.5251957090297665,0.009942484358658138,8388608
llama31_8b,smoothquant_hadamard,qkv,10,0.5559799624645692,0.009933308347655068,8388608
llama31_8b,smoothquant_hadamard,qkv,11,0.5337571183157479,0.0099649005907112,8388608
llama31_8b,smoothquant_hadamard,qkv,12,0.48263497338537675,0.009949503490142463,8388608
llama31_8b,smoothquant_hadamard,qkv,13,0.548690600751172,0.009933502910403128,8388608
llama31_8b,smoothquant_hadamard,qkv,14,0.5680310245274462,0.009939851358686821,8388608
llama31_8b,smoothquant_hadamard,qkv,15,0.54839649042788,0.00994385825303689,8388608
llama31_8b,smoothquant_hadamard,qkv,16,0.5555767649978947,0.009946785544918856,8388608
llama31_8b,smoothquant_hadamard,qkv,17,0.5473557362666845,0.009945481841171817,8388608
llama31_8b,smoothquant_hadamard,qkv,18,0.5432673299917958,0.009950175091043411,8388608
llama31_8b,smoothquant_hadamard,qkv,19,0.5423484954453279,0.00994686294426096,8388608
llama31_8b,smoothquant_hadamard,qkv,20,0.5476593695538803,0.009952625651903812,8388608
llama31_8b,smoothquant_hadamard,qkv,21,0.530787444181346,0.00994604776624624,8388608
llama31_8b,smoothquant_hadamard,qkv,22,0.5355282921908966,0.009945830146930928,8388608
llama31_8b,smoothquant_hadamard,qkv,23,0.5317735633036094,0.009947265741194514,8388608
llama31_8b,smoothquant_hadamard,qkv,24,0.540115692509815,0.009945568883911574,8388608
llama31_8b,smoothquant_hadamard,qkv,25,0.5390978237779898,0.009934171762747355,8388608
llama31_8b,smoothquant_hadamard,qkv,26,0.5388676259293348,0.009938034299561728,8388608
llama31_8b,smoothquant_hadamard,qkv,27,0.5487392049699658,0.009947474902591518,8388608
llama31_8b,smoothquant_hadamard,qkv,28,0.5140875982896489,0.009941202181399579,8388608
llama31_8b,smoothquant_hadamard,qkv,29,0.5429186748264385,0.009948150698889699,8388608
llama31_8b,smoothquant_hadamard,qkv,30,0.5276607660820751,0.00993949401739329,8388608
llama31_8b,smoothquant_hadamard,qkv,31,0.5067411297811937,0.009930707679379897,8388608
llama31_8b,smoothquant_hadamard,down,0,0.01840508630544302,0.009795934828129023,29360128
llama31_8b,smoothquant_hadamard,down,1,0.021147790565755793,0.007426619797574571,29360128
llama31_8b,smoothquant_hadamard,down,2,0.025772888726658488,0.009647133060017538,29360128
llama31_8b,smoothquant_hadamard,down,3,0.032301371411607924,0.009898217374138707,29360128
llama31_8b,smoothquant_hadamard,down,4,0.038158779012622164,0.009918709817710994,29360128
llama31_8b,smoothquant_hadamard,down,5,0.04314452328705106,0.009915583037767392,29360128
llama31_8b,smoothquant_hadamard,down,6,0.04852549183309047,0.009914013990416186,29360128
llama31_8b,smoothquant_hadamard,down,7,0.0522778775585681,0.009934532183469711,29360128
llama31_8b,smoothquant_hadamard,down,8,0.05362152221854747,0.009935946259600835,29360128
llama31_8b,smoothquant_hadamard,down,9,0.05673721038822764,0.00994296803245233,29360128
llama31_8b,smoothquant_hadamard,down,10,0.05557269665240432,0.009911429075014251,29360128
llama31_8b,smoothquant_hadamard,down,11,0.05820078836911634,0.009921929402249055,29360128
llama31_8b,smoothquant_hadamard,down,12,0.060546813158524,0.009909461186930254,29360128
llama31_8b,smoothquant_hadamard,down,13,0.05930302941466113,0.009904728914658066,29360128
llama31_8b,smoothquant_hadamard,down,14,0.056562636579297276,0.009894015394992649,29360128
llama31_8b,smoothquant_hadamard,down,15,0.05847856553915522,0.009920239129545944,29360128
llama31_8b,smoothquant_hadamard,down,16,0.057002382588860936,0.009883673149324406,29360128
llama31_8b,smoothquant_hadamard,down,17,0.05987011252057713,0.009865719348703181,29360128
llama31_8b,smoothquant_hadamard,down,18,0.05601806722818882,0.009862750814291336,29360128
llama31_8b,smoothquant_hadamard,down,19,0.05604286203031293,0.009873084704232078,29360128
llama31_8b,smoothquant_hadamard,down,20,0.05659537388915111,0.00982593980882404,29360128
llama31_8b,smoothquant_hadamard,down,21,0.0626889308310947,0.009878873125331117,29360128
llama31_8b,smoothquant_hadamard,down,22,0.06011536029255942,0.009877116829382755,29360128
llama31_8b,smoothquant_hadamard,down,23,0.06246084692133115,0.009799511241942893,29360128
llama31_8b,smoothquant_hadamard,down,24,0.0619545106350819,0.009872912088527365,29360128
llama31_8b,smoothquant_hadamard,down,25,0.06422274708975038,0.009727984783163104,29360128
llama31_8b,smoothquant_hadamard,down,26,0.06637427371827474,0.009873271635591515,29360128
llama31_8b,smoothquant_hadamard,down,27,0.07165121431869739,0.009791827702002955,29360128
llama31_8b,smoothquant_hadamard,down,28,0.07694492228113317,0.00989896731722926,29360128
llama31_8b,smoothquant_hadamard,down,29,0.09268829935015395,0.009806264385383507,29360128
llama31_8b,smoothquant_hadamard,down,30,0.11837156183442168,0.009923778769867077,29360128
llama31_8b,smoothquant_hadamard,down,31,0.20614250649776775,0.009928235156572984,29360128
