model,site,layer,method,selected_tokens,selected_bos,selected_sequences,bos_fraction,indices_sha256,values_sha256,selection_artifact
llama31_8b,qkv,13,B_top1_no_bos,128,0,128,0.0,0c05709a1a17cd01fd4396deb27289a43cc9467e7afb84655561e74ab2e6134a,6f17ce3336f6967174958c11ef986a84b27f833c1299cea4aa7afee6dc3b8bfd,qkv_layer_13.selection.pt
llama31_8b,qkv,13,C_top1pct,2622,0,124,0.0,d52febb69d63e80c2848b0997d98ac6c8c216de5493253d35fb4278be3bf4226,cb9cf80dc4289d476c0779210c51c1639206f5510ba5f7b911bc895a7c71d020,qkv_layer_13.selection.pt
llama31_8b,qkv,13,C_top1pct_no_bos,2621,0,124,0.0,357c19307e7c07a3489fee3b838f5ac9d42d827369187feaf3d6c3bb9e8f8db6,2c1cbdb4f30e7aa0e56cf1dc78117c7c2e842fffd86f198ad59b99d294e07b98,qkv_layer_13.selection.pt
llama31_8b,qkv,14,B_top1,128,0,128,0.0,7e412bc9fbac75929e8dc6fdc2a2afe750533822ebd2ebc6931368d240396e26,a7bcd1cc6c9b3db8f9da46eca946200e28e95d87ad146525bc68de5de9d1af5f,qkv_layer_14.selection.pt
llama31_8b,qkv,14,B_top1_no_bos,128,0,128,0.0,7e412bc9fbac75929e8dc6fdc2a2afe750533822ebd2ebc6931368d240396e26,a7bcd1cc6c9b3db8f9da46eca946200e28e95d87ad146525bc68de5de9d1af5f,qkv_layer_14.selection.pt
llama31_8b,qkv,14,C_top1pct,2622,0,122,0.0,2e2756c89e13e9a2cc0f2bd6d65d20d04c7a17914da23c4d52e3e5d41bc3ab7b,2129fa6e8a63015dd2d5e9608f345ffbc4ace09cebad497ed8ba4de1561d1b5c,qkv_layer_14.selection.pt
llama31_8b,qkv,14,C_top1pct_no_bos,2621,0,122,0.0,208e2d04391b62988464b12dbed7c63c448bceb2f13d4e5f3d2ff147f92e18c5,182bd11674d0ee189de8fd899dafbae814ff72a07f0f5d7b82de70f022759064,qkv_layer_14.selection.pt
llama31_8b,qkv,15,B_top1,128,0,128,0.0,2998491399d7e55cfd4c470f955e40a3ba4e6a65ec5e99e85551ea7501d7e486,819edb8a9d6a8b9b33b0faf899aaddeda0fc81cad65964d4dce3a3ebe95f5baa,qkv_layer_15.selection.pt
llama31_8b,qkv,15,B_top1_no_bos,128,0,128,0.0,2998491399d7e55cfd4c470f955e40a3ba4e6a65ec5e99e85551ea7501d7e486,819edb8a9d6a8b9b33b0faf899aaddeda0fc81cad65964d4dce3a3ebe95f5baa,qkv_layer_15.selection.pt
llama31_8b,qkv,15,C_top1pct,2622,0,125,0.0,4b59dc6dbe2b211b846226b45c68f0a33bc3c55575f678f247d493e0871dead8,ba7e88443776eaf04086e50ce4d0a201ef7395ffc723804229adb665ff44c5cb,qkv_layer_15.selection.pt
llama31_8b,qkv,15,C_top1pct_no_bos,2621,0,125,0.0,02fdae6ae0e92c55e1504f2907eacfac70dc87f4b70fea2dc840695ed47ca257,8c09a2f725edb3f3c45b225105d9ebdd8c3637fc5a2e5a6762f7ae1ccc01c5a1,qkv_layer_15.selection.pt
llama31_8b,qkv,16,B_top1,128,0,128,0.0,781c24400d57083fbb2b12c990842dd2c3b4669d15cb4e4af6855d4f19f9080a,9b1f1459a9449aadf687dfacaffb6bb006b49ea596973dca755c0e500f46b98a,qkv_layer_16.selection.pt
llama31_8b,qkv,16,B_top1_no_bos,128,0,128,0.0,781c24400d57083fbb2b12c990842dd2c3b4669d15cb4e4af6855d4f19f9080a,9b1f1459a9449aadf687dfacaffb6bb006b49ea596973dca755c0e500f46b98a,qkv_layer_16.selection.pt
llama31_8b,qkv,16,C_top1pct,2622,0,126,0.0,7b1fd1267eafb5e8b6a6a1805d553039c150ad4f57ff40069a61f65a65da0a3d,32048a0519e49fc3e40107aabad765ee8be7d2e7f7e86790a5a5a76a2127b76c,qkv_layer_16.selection.pt
llama31_8b,qkv,16,C_top1pct_no_bos,2621,0,126,0.0,20574c16df7457652c8baa4ab72d3634e3ead4dba46640f07ab3f9150b3c0253,836e1ead04b810c5c99268d8278dc92d0978a59842d77fb01361c5e2b7ada566,qkv_layer_16.selection.pt
