model,row,site,layer,seed,round_trip,tolerance
llama31_8b,E20_nar_g256_m3_c32,qkv,1,0,1.3850221591837908e-07,1e-06
llama31_8b,E20_nar_g256_m3_c32,qkv,1,1,1.3751771632541931e-07,1e-06
llama31_8b,E20_nar_g256_m3_c32,qkv,1,2,1.3992737990520254e-07,1e-06
llama31_8b,E11_g64_kmax,down,1,0,1.596725809349664e-07,1e-06
llama31_8b,E11_g64_kmax,down,1,1,1.6128582558394555e-07,1e-06
llama31_8b,E11_g64_kmax,down,1,2,1.5902530492439837e-07,1e-06
llama31_8b,E11_g128_k8,down,1,0,1.1748842609904386e-07,1e-06
llama31_8b,E11_g128_k8,down,1,1,1.1755756901266068e-07,1e-06
llama31_8b,E11_g128_k8,down,1,2,1.1742235273004553e-07,1e-06
llama31_8b,E11_g128_k16,down,1,0,1.1884515771498627e-07,1e-06
llama31_8b,E11_g128_k16,down,1,1,1.1937680710616405e-07,1e-06
llama31_8b,E11_g128_k16,down,1,2,1.1888946715998827e-07,1e-06
llama31_8b,E11_g128_k32,down,1,0,1.2204078814193053e-07,1e-06
llama31_8b,E11_g128_k32,down,1,1,1.2294523799027957e-07,1e-06
llama31_8b,E11_g128_k32,down,1,2,1.2163584983682085e-07,1e-06
llama31_8b,E11_g128_kmax,down,1,0,1.3969315659778658e-07,1e-06
llama31_8b,E11_g128_kmax,down,1,1,1.4028506711838418e-07,1e-06
llama31_8b,E11_g128_kmax,down,1,2,1.405174714363966e-07,1e-06
llama31_8b,E11_g256_kmax,down,1,0,1.2782327019067452e-07,1e-06
llama31_8b,E11_g256_kmax,down,1,1,1.2733831056266354e-07,1e-06
llama31_8b,E11_g256_kmax,down,1,2,1.2755866407587746e-07,1e-06
llama31_8b,E20_hadamard_g64_m1,down,1,0,1.9509403159645444e-07,1e-06
llama31_8b,E20_hadamard_g64_m1,down,1,1,1.937431051146632e-07,1e-06
llama31_8b,E20_hadamard_g64_m1,down,1,2,1.9433392139944772e-07,1e-06
llama31_8b,E20_hadamard_g128_m1,down,1,0,1.9509403159645444e-07,1e-06
llama31_8b,E20_hadamard_g128_m1,down,1,1,1.937431051146632e-07,1e-06
llama31_8b,E20_hadamard_g128_m1,down,1,2,1.9433392139944772e-07,1e-06
llama31_8b,E20_hadamard_g256_m1,down,1,0,1.9509403159645444e-07,1e-06
llama31_8b,E20_hadamard_g256_m1,down,1,1,1.937431051146632e-07,1e-06
llama31_8b,E20_hadamard_g256_m1,down,1,2,1.9433392139944772e-07,1e-06
llama31_8b,E20_hadamard_g256_m2,down,1,0,1.9509403159645444e-07,1e-06
llama31_8b,E20_hadamard_g256_m2,down,1,1,1.937431051146632e-07,1e-06
llama31_8b,E20_hadamard_g256_m2,down,1,2,1.9433392139944772e-07,1e-06
llama31_8b,E20_hadamard_g256_m3,down,1,0,1.9509403159645444e-07,1e-06
llama31_8b,E20_hadamard_g256_m3,down,1,1,1.937431051146632e-07,1e-06
llama31_8b,E20_hadamard_g256_m3,down,1,2,1.9433392139944772e-07,1e-06
llama31_8b,E20_hadamard_g128_m2,down,1,0,1.9509403159645444e-07,1e-06
llama31_8b,E20_hadamard_g128_m2,down,1,1,1.937431051146632e-07,1e-06
llama31_8b,E20_hadamard_g128_m2,down,1,2,1.9433392139944772e-07,1e-06
llama31_8b,E20_nar_g64_m1,down,1,0,1.6216011999858893e-07,1e-06
llama31_8b,E20_nar_g64_m1,down,1,1,1.6091725285605207e-07,1e-06
llama31_8b,E20_nar_g64_m1,down,1,2,1.6070828223746503e-07,1e-06
llama31_8b,E20_nar_g128_m1,down,1,0,1.380287670826874e-07,1e-06
llama31_8b,E20_nar_g128_m1,down,1,1,1.3870345583200105e-07,1e-06
llama31_8b,E20_nar_g128_m1,down,1,2,1.3819429511841008e-07,1e-06
llama31_8b,E20_nar_g256_m1,down,1,0,1.235538320543128e-07,1e-06
llama31_8b,E20_nar_g256_m1,down,1,1,1.2397171644806804e-07,1e-06
llama31_8b,E20_nar_g256_m1,down,1,2,1.2329232390584366e-07,1e-06
llama31_8b,E20_nar_g256_m2,down,1,0,1.3382425834151945e-07,1e-06
llama31_8b,E20_nar_g256_m2,down,1,1,1.3460886805205519e-07,1e-06
llama31_8b,E20_nar_g256_m2,down,1,2,1.3420076072634401e-07,1e-06
llama31_8b,E20_nar_g256_m3,down,1,0,1.4525762992434466e-07,1e-06
llama31_8b,E20_nar_g256_m3,down,1,1,1.4514216672978364e-07,1e-06
llama31_8b,E20_nar_g256_m3,down,1,2,1.4606474962874927e-07,1e-06
llama31_8b,E20_nar_g128_m2,down,1,0,1.7169351451684634e-07,1e-06
llama31_8b,E20_nar_g128_m2,down,1,1,1.719552358281362e-07,1e-06
llama31_8b,E20_nar_g128_m2,down,1,2,1.733845493845365e-07,1e-06
llama31_8b,E20_nar_g128_m2_c32,down,1,0,1.7169351451684634e-07,1e-06
llama31_8b,E20_nar_g128_m2_c32,down,1,1,1.719552358281362e-07,1e-06
llama31_8b,E20_nar_g128_m2_c32,down,1,2,1.733845493845365e-07,1e-06
llama31_8b,E20_nar_g256_m3_c32,down,1,0,1.4525762992434466e-07,1e-06
llama31_8b,E20_nar_g256_m3_c32,down,1,1,1.4514216672978364e-07,1e-06
llama31_8b,E20_nar_g256_m3_c32,down,1,2,1.4606474962874927e-07,1e-06
llama31_8b,E11_g64_kmax,qkv,2,0,1.4543067550221167e-07,1e-06
llama31_8b,E11_g64_kmax,qkv,2,1,1.4746544252375315e-07,1e-06
llama31_8b,E11_g64_kmax,qkv,2,2,1.4431689976390771e-07,1e-06
llama31_8b,E11_g128_k8,qkv,2,0,1.2402351501350495e-07,1e-06
llama31_8b,E11_g128_k8,qkv,2,1,1.228353312399122e-07,1e-06
llama31_8b,E11_g128_k8,qkv,2,2,1.2224343493016931e-07,1e-06
llama31_8b,E11_g128_k16,qkv,2,0,1.2934850701640244e-07,1e-06
llama31_8b,E11_g128_k16,qkv,2,1,1.2867796783666563e-07,1e-06
llama31_8b,E11_g128_k16,qkv,2,2,1.2852072472924192e-07,1e-06
llama31_8b,E11_g128_k32,qkv,2,0,1.3952394795069267e-07,1e-06
llama31_8b,E11_g128_k32,qkv,2,1,1.3966722178793134e-07,1e-06
llama31_8b,E11_g128_k32,qkv,2,2,1.390413473245644e-07,1e-06
llama31_8b,E11_g128_kmax,qkv,2,0,1.3929449949046102e-07,1e-06
llama31_8b,E11_g128_kmax,qkv,2,1,1.365461628211051e-07,1e-06
llama31_8b,E11_g128_kmax,qkv,2,2,1.3820634592320857e-07,1e-06
llama31_8b,E11_g256_kmax,qkv,2,0,1.2664787618632545e-07,1e-06
llama31_8b,E11_g256_kmax,qkv,2,1,1.2599774379395967e-07,1e-06
llama31_8b,E11_g256_kmax,qkv,2,2,1.2619788947176858e-07,1e-06
llama31_8b,E20_hadamard_g64_m1,qkv,2,0,1.342496460665643e-07,1e-06
llama31_8b,E20_hadamard_g64_m1,qkv,2,1,1.330520547071501e-07,1e-06
llama31_8b,E20_hadamard_g64_m1,qkv,2,2,1.3290916456298874e-07,1e-06
llama31_8b,E20_hadamard_g128_m1,qkv,2,0,1.342496460665643e-07,1e-06
llama31_8b,E20_hadamard_g128_m1,qkv,2,1,1.330520547071501e-07,1e-06
