model,method,seed,sequence,nll,tokens_scored,source,weight_fold_max_relative_error
llama31_8b,hadamard_g128_asym,20260902,45,2.1134068965911865,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,46,2.19878888130188,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,47,2.0360443592071533,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,48,1.8435519933700562,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,49,1.857319712638855,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,50,1.5704915523529053,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,51,1.6904478073120117,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,52,1.5333393812179565,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,53,1.7255878448486328,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,54,1.4551832675933838,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,55,1.4392176866531372,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,56,1.4966177940368652,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,57,1.6355983018875122,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,58,1.9479910135269165,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,59,2.1647164821624756,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,60,2.200495958328247,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,61,2.309417247772217,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,62,1.2871863842010498,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260902,63,1.734571099281311,2047,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260903,0,1.591938853263855,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,1,2.2154972553253174,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,2,2.290489673614502,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,3,1.8572416305541992,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,4,1.7546980381011963,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,5,1.3044337034225464,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,6,1.3691976070404053,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,7,1.7203154563903809,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,8,2.0292811393737793,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,9,1.8551523685455322,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,10,1.7531769275665283,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,11,2.0720949172973633,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,12,1.9851365089416504,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,13,2.0909204483032227,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,14,1.9961235523223877,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,15,2.2399587631225586,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,16,1.9474027156829834,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,17,1.931563377380371,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,18,1.5836578607559204,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,19,1.882069706916809,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,20,2.007122755050659,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,21,1.955460548400879,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,22,1.958938479423523,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,23,2.0180068016052246,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,24,2.068993330001831,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,25,2.181859016418457,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,26,2.262735366821289,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,27,2.0877695083618164,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,28,1.801023006439209,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,29,1.6083085536956787,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,30,1.4511692523956299,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,31,1.4748461246490479,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,32,1.8324910402297974,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,33,1.809875249862671,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,34,1.9653916358947754,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,35,1.3027095794677734,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,36,1.3234128952026367,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,37,1.3260035514831543,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,38,1.3051509857177734,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,39,1.5334328413009644,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,40,2.062628984451294,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,41,2.549575090408325,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,42,2.5369515419006348,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,43,2.047424554824829,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,44,2.070263624191284,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,45,2.1160101890563965,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,46,2.187082052230835,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,47,2.044658899307251,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,48,1.8435596227645874,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,49,1.8573250770568848,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,50,1.5568450689315796,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,51,1.6906194686889648,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,52,1.5256677865982056,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,53,1.7202904224395752,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,54,1.4512128829956055,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,55,1.44086492061615,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,56,1.5074939727783203,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,57,1.6454728841781616,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,58,1.9475544691085815,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,59,2.180211305618286,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,60,2.1872079372406006,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,61,2.3035151958465576,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,62,1.2975748777389526,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260903,63,1.7505288124084473,2047,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260904,0,1.6091738939285278,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,1,2.2200725078582764,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,2,2.289210557937622,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,3,1.850429892539978,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,4,1.739607334136963,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,5,1.3203831911087036,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,6,1.362687349319458,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,7,1.7173168659210205,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,8,2.0399110317230225,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,9,1.8513373136520386,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,10,1.7521775960922241,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,11,2.0698773860931396,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,12,1.9797495603561401,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,13,2.099494457244873,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,14,2.004943609237671,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,15,2.23093843460083,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,16,1.9590277671813965,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,17,1.9370099306106567,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,18,1.5728729963302612,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,19,1.8803377151489258,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,20,2.0026144981384277,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,21,1.9653875827789307,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,22,1.9424879550933838,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,23,2.0232458114624023,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,24,2.0725982189178467,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,25,2.196565866470337,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,26,2.2496109008789062,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,27,2.0881354808807373,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,28,1.79999840259552,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,29,1.6179929971694946,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,30,1.453843355178833,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,31,1.4897239208221436,2047,reused_verbatim_from_e5,0.0030748900026082993
