model,row,method,group,m,seed,chunk,nll,tokens_scored,effective_bits,slots,coeff,bit_accounted
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,21,1.957158088684082,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,22,1.948716402053833,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,23,2.0075361728668213,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,24,2.0615837574005127,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,25,2.183863639831543,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,26,2.2530508041381836,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,27,2.07993221282959,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,28,1.7873281240463257,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,29,1.6194058656692505,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,30,1.4422096014022827,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,31,1.4748891592025757,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,32,1.834006667137146,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,33,1.8063055276870728,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,34,1.9588918685913086,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,35,1.3010269403457642,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,36,1.3132941722869873,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,37,1.3139289617538452,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,38,1.3082996606826782,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,39,1.5247317552566528,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,40,2.062288999557495,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,41,2.5425186157226562,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,42,2.5433006286621094,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,43,2.055650234222412,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,44,2.0705854892730713,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,45,2.1105895042419434,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,46,2.1922600269317627,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,47,2.04475736618042,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,48,1.8265358209609985,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,49,1.8555738925933838,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,50,1.5495887994766235,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,51,1.677034854888916,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,52,1.5105628967285156,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,53,1.7139384746551514,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,54,1.4584221839904785,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,55,1.4336609840393066,2047,4.5,0,,
