model,method,seed,sequence,nll,tokens_scored,source,weight_fold_max_relative_error
llama31_8b,nar_b128_k64,20260903,16,1.9369596242904663,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,17,1.927750825881958,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,18,1.5496169328689575,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,19,1.8690203428268433,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,20,1.986582636833191,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,21,1.9553167819976807,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,22,1.9415225982666016,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,23,2.0144755840301514,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,24,2.063396692276001,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,25,2.1772401332855225,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,26,2.250771999359131,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,27,2.0792617797851562,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,28,1.793078064918518,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,29,1.6066606044769287,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,30,1.4458255767822266,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,31,1.4758516550064087,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,32,1.8313533067703247,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,33,1.7969965934753418,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
