model,row,site,layer,seed,group,m,k,s_meas,s_hadamard,f_calibration,f_test_capture,s_pred,relative_error,observations,groups_measured,f_definition
llama31_8b,E20_nar_g256_m3_c32,down,5,1,256,3,168,0.009215427108467107,0.01143597767678076,0.2611374855041504,0.2384676429408399,0.009830036167583678,0.06669349688110174,131072,7340032,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_nar_g256_m3_c32,down,5,2,256,3,168,0.009215633691626448,0.011435141762593557,0.2611374855041504,0.2384676428937215,0.00982931763988754,0.06659161689756612,131072,7340032,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E11_g64_kmax,qkv,6,0,64,1,64,0.08942722267779701,0.12441017016382716,0.49003532893626045,0.47755258885728136,0.08884355523668182,-0.006526731163486182,131072,8388608,frozen E11 selected eigenvalue fractions
llama31_8b,E11_g64_kmax,qkv,6,1,64,1,64,0.08941648521354639,0.12438717824289336,0.49003532893626045,0.4775525888987648,0.08882713628962315,-0.0065910544628963105,131072,8388608,frozen E11 selected eigenvalue fractions
llama31_8b,E11_g64_kmax,qkv,6,2,64,1,64,0.08943758873209551,0.12439586534638858,0.49003532893626045,0.47755258888996394,0.0888333399075284,-0.006756094759856494,131072,8388608,frozen E11 selected eigenvalue fractions
llama31_8b,E11_g128_k8,qkv,6,0,128,1,8,0.11293999811080546,0.13785872572127822,0.312101253755906,0.3064742967486811,0.11433956056704139,0.012392088539463405,131072,4194304,frozen E11 selected eigenvalue fractions
llama31_8b,E11_g128_k8,qkv,6,1,128,1,8,0.11298597437415481,0.13776934518855555,0.312101253755906,0.3064742966757239,0.11426542865568584,0.011324009804031969,131072,4194304,frozen E11 selected eigenvalue fractions
llama31_8b,E11_g128_k8,qkv,6,2,128,1,8,0.11299651398741517,0.13778411180344285,0.312101253755906,0.3064742968375531,0.11427767603609969,0.011338067020609192,131072,4194304,frozen E11 selected eigenvalue fractions
llama31_8b,E11_g128_k16,qkv,6,0,128,1,16,0.10917931220080312,0.13785872572127822,0.3643488587570094,0.35730186195882485,0.10991163678715617,0.006707539840571142,131072,4194304,frozen E11 selected eigenvalue fractions
llama31_8b,E11_g128_k16,qkv,6,1,128,1,16,0.10918883180825567,0.13776934518855555,0.3643488587570094,0.35730186187263635,0.10984037571465562,0.005967129564533751,131072,4194304,frozen E11 selected eigenvalue fractions
llama31_8b,E11_g128_k16,qkv,6,2,128,1,16,0.109161012806398,0.13778411180344285,0.3643488587570094,0.35730186189312424,0.10985214880194899,0.006331344660357314,131072,4194304,frozen E11 selected eigenvalue fractions
llama31_8b,E11_g128_k32,qkv,6,0,128,1,32,0.10442349613881774,0.13785872572127822,0.42596970035273835,0.41584241399843874,0.10444837033412399,0.0002382049656064415,131072,4194304,frozen E11 selected eigenvalue fractions
llama31_8b,E11_g128_k32,qkv,6,1,128,1,32,0.10442690196141591,0.13776934518855555,0.42596970035273835,0.4158424139713576,0.10438065136360808,-0.0004428992619633355,131072,4194304,frozen E11 selected eigenvalue fractions
llama31_8b,E11_g128_k32,qkv,6,2,128,1,32,0.10442277357564489,0.13778411180344285,0.42596970035273835,0.4158424139804858,0.10439183925797067,-0.00029624110349652313,131072,4194304,frozen E11 selected eigenvalue fractions
llama31_8b,E11_g128_kmax,qkv,6,0,128,1,32,0.10473067035180339,0.13785872572127822,0.42246155153386433,0.41209795030529367,0.10476704888889686,0.0003473532344562529,131072,4194304,saved factor eigenvalue sum / calibration trace
llama31_8b,E11_g128_kmax,qkv,6,1,128,1,32,0.10469960386289667,0.13776934518855555,0.42246155153386433,0.4120979503348226,0.1046991233035378,-4.589887078322648e-06,131072,4194304,saved factor eigenvalue sum / calibration trace
llama31_8b,E11_g128_kmax,qkv,6,2,128,1,32,0.1047363506659087,0.13778411180344285,0.42246155153386433,0.41209795015890366,0.10471034533287057,-0.0002482932895100871,131072,4194304,saved factor eigenvalue sum / calibration trace
llama31_8b,E11_g256_kmax,qkv,6,0,256,1,16,0.1193408678737029,0.15005772240676052,0.3643488587570094,0.3562969272740357,0.11963762029561609,0.002486595138785416,131072,2097152,frozen E11 selected eigenvalue fractions
llama31_8b,E11_g256_kmax,qkv,6,1,256,1,16,0.11932790779287572,0.14986561836651902,0.3643488587570094,0.3562969271709974,0.11948446009929266,0.001311950484279625,131072,2097152,frozen E11 selected eigenvalue fractions
llama31_8b,E11_g256_kmax,qkv,6,2,256,1,16,0.11934710335575005,0.14994590008984332,0.3643488587570094,0.3562969272049044,0.11954846689732812,0.0016872092905166314,131072,2097152,frozen E11 selected eigenvalue fractions
llama31_8b,E20_hadamard_g64_m1,qkv,6,0,64,1,0,0.12440340107046666,0.12440340107046666,0.011515150777995586,0.01932180402136875,0.12368506518597637,-0.005774246349449845,131072,8388608,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_hadamard_g64_m1,qkv,6,1,64,1,0,0.1244279520530438,0.1244279520530438,0.011515149846673012,0.01932180402073196,0.12370947446340978,-0.0057742458810840945,131072,8388608,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_hadamard_g64_m1,qkv,6,2,64,1,0,0.12445397248419532,0.12445397248419532,0.011515149846673012,0.019321804020484803,0.1237353446461939,-0.005774245881084092,131072,8388608,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_hadamard_g128_m1,qkv,6,0,128,1,0,0.13784977132414689,0.13784977132414689,0.004756453912705183,0.008331512608076432,0.13752154251553692,-0.0023810616837234844,131072,4194304,E11 energy-weighted P_N capture; frozen E20 construction
