layer,group,module,columns,rows,hessian_sequences,dead_columns,damp,groupsize,blocksize,act_order,symmetric,cholesky_float64,hessian_dtype,product_dtype,hessian_diag_max_over_median,hessian_diag_mean_over_median,damp_over_median_diag,null_slot_diag_share,null_slot_baseline,null_space_dc_share,hessian_participation_ratio,rows_clipped,mean_shrink,clipped_row_null_slot_mass_share,unclipped_row_null_slot_mass_share
29,0,self_attn.k_proj,2048,512,128,0,40.95980453491211,128,128,False,False,False,torch.float32,torch.float32,9.936301038417236,1.5393701011368144,0.015393701011368143,0.0074148079974734665,0.0078125,0.38418726533539455,5.144120358701768,512,0.7835351228713989,0.007745776791125536,nan
29,0,self_attn.v_proj,2048,512,128,0,40.95980453491211,128,128,False,False,False,torch.float32,torch.float32,9.936301038417236,1.5393701011368144,0.015393701011368143,0.0074148079974734665,0.0078125,0.38418726533539455,5.144120358701768,512,0.7834179401397705,0.007956776767969131,nan
29,0,self_attn.q_proj,2048,4096,128,0,40.95980453491211,128,128,False,False,False,torch.float32,torch.float32,9.936301038417236,1.5393701011368144,0.015393701011368143,0.0074148079974734665,0.0078125,0.38418726533539455,5.144120358701768,4096,0.7852758765220642,0.007803366519510746,nan
29,1,self_attn.o_proj,4096,2048,128,0,0.083522267639637,128,128,False,False,False,torch.float32,torch.float32,8.26926866236038,1.355618942687978,0.01355618942687978,0.007930499106811015,0.0078125,0.07470381179603205,68.19837228429022,2048,0.7243310213088989,0.008040150627493858,nan
30,0,self_attn.k_proj,2048,512,128,0,40.95981216430664,128,128,False,False,False,torch.float32,torch.float32,10.057931626605495,1.578054547730793,0.01578054547730793,0.0072860195352735645,0.0078125,0.39613184345674196,4.708990540471893,512,0.7827929258346558,0.007838196121156216,nan
30,0,self_attn.v_proj,2048,512,128,0,40.95981216430664,128,128,False,False,False,torch.float32,torch.float32,10.057931626605495,1.578054547730793,0.01578054547730793,0.0072860195352735645,0.0078125,0.39613184345674196,4.708990540471893,512,0.7833983898162842,0.007796210236847401,nan
30,0,self_attn.q_proj,2048,4096,128,0,40.95981216430664,128,128,False,False,False,torch.float32,torch.float32,10.057931626605495,1.578054547730793,0.01578054547730793,0.0072860195352735645,0.0078125,0.39613184345674196,4.708990540471893,4096,0.7837304472923279,0.0076346127316355705,nan
30,1,self_attn.o_proj,4096,2048,128,0,0.09426728636026382,128,128,False,False,False,torch.float32,torch.float32,12.44571833474601,1.773181033361587,0.017731810333615868,0.007243620330407515,0.0078125,0.08674446682034614,74.70037199564251,2048,0.7345361709594727,0.007732473313808441,nan
31,0,self_attn.k_proj,2048,512,128,0,40.959808349609375,128,128,False,False,False,torch.float32,torch.float32,9.50202226352385,1.5355069680251632,0.015355069680251632,0.0073053496594592,0.0078125,0.38531750767025935,5.235996638251455,512,0.785097599029541,0.007860775105655193,nan
31,0,self_attn.v_proj,2048,512,128,0,40.959808349609375,128,128,False,False,False,torch.float32,torch.float32,9.50202226352385,1.5355069680251632,0.015355069680251632,0.0073053496594592,0.0078125,0.38531750767025935,5.235996638251455,512,0.7815819978713989,0.00791708193719387,nan
31,0,self_attn.q_proj,2048,4096,128,0,40.959808349609375,128,128,False,False,False,torch.float32,torch.float32,9.50202226352385,1.5355069680251632,0.015355069680251632,0.0073053496594592,0.0078125,0.38531750767025935,5.235996638251455,4096,0.7835034132003784,0.007647695019841194,nan
31,1,self_attn.o_proj,4096,2048,128,0,0.0857505202293396,128,128,False,False,False,torch.float32,torch.float32,8.408671051389318,1.5065014790501474,0.015065014790501475,0.008905397502378332,0.0078125,0.08329896095175116,44.756188729809544,2048,0.7255663871765137,0.00794847123324871,nan
32,0,self_attn.k_proj,2048,512,128,0,40.9598274230957,128,128,False,False,False,torch.float32,torch.float32,10.240708704254146,1.5791057616104724,0.015791057616104723,0.0072029589389041495,0.0078125,0.39832513825653065,4.80554068290301,512,0.7841015458106995,0.008078934624791145,nan
32,0,self_attn.v_proj,2048,512,128,0,40.9598274230957,128,128,False,False,False,torch.float32,torch.float32,10.240708704254146,1.5791057616104724,0.015791057616104723,0.0072029589389041495,0.0078125,0.39832513825653065,4.80554068290301,512,0.7844725847244263,0.007796160411089659,nan
32,0,self_attn.q_proj,2048,4096,128,0,40.9598274230957,128,128,False,False,False,torch.float32,torch.float32,10.240708704254146,1.5791057616104724,0.015791057616104723,0.0072029589389041495,0.0078125,0.39832513825653065,4.80554068290301,4096,0.7842968702316284,0.007732923608273268,nan
32,1,self_attn.o_proj,4096,2048,128,0,0.09469962865114212,128,128,False,False,False,torch.float32,torch.float32,7.416503655256625,1.36589499144491,0.0136589499144491,0.00783989967599116,0.0078125,0.0390204587352477,58.675955110371575,2048,0.7214746475219727,0.007966568693518639,nan
33,0,self_attn.k_proj,2048,512,128,0,40.95985412597656,128,128,False,False,False,torch.float32,torch.float32,10.139172387782214,1.5670225382203957,0.015670225382203955,0.007156108021228389,0.0078125,0.3980542947803549,4.855435635954263,512,0.7827929258346558,0.00789372343569994,nan
33,0,self_attn.v_proj,2048,512,128,0,40.95985412597656,128,128,False,False,False,torch.float32,torch.float32,10.139172387782214,1.5670225382203957,0.015670225382203955,0.007156108021228389,0.0078125,0.3980542947803549,4.855435635954263,512,0.7816405892372131,0.00788020621985197,nan
33,0,self_attn.q_proj,2048,4096,128,0,40.95985412597656,128,128,False,False,False,torch.float32,torch.float32,10.139172387782214,1.5670225382203957,0.015670225382203955,0.007156108021228389,0.0078125,0.3980542947803549,4.855435635954263,4096,0.7837572693824768,0.007829403504729271,nan
33,1,self_attn.o_proj,4096,2048,128,0,0.1227506548166275,128,128,False,False,False,torch.float32,torch.float32,7.046307355305132,1.429398343647363,0.01429398343647363,0.007072630030954821,0.0078125,0.04251624481337955,79.04740198850509,2048,0.7330273389816284,0.007529955357313156,nan
34,0,self_attn.k_proj,2048,512,128,0,40.95987319946289,128,128,False,False,False,torch.float32,torch.float32,10.701561566123537,1.6090165424886698,0.0160901654248867,0.007023560231931928,0.0078125,0.40999912142481293,4.48444454487179,512,0.786074161529541,0.007872344925999641,nan
34,0,self_attn.v_proj,2048,512,128,0,40.95987319946289,128,128,False,False,False,torch.float32,torch.float32,10.701561566123537,1.6090165424886698,0.0160901654248867,0.007023560231931928,0.0078125,0.40999912142481293,4.48444454487179,512,0.7839062213897705,0.007685433141887188,nan
34,0,self_attn.q_proj,2048,4096,128,0,40.95987319946289,128,128,False,False,False,torch.float32,torch.float32,10.701561566123537,1.6090165424886698,0.0160901654248867,0.007023560231931928,0.0078125,0.40999912142481293,4.48444454487179,4096,0.7830810546875,0.007813035510480404,nan
34,1,self_attn.o_proj,4096,2048,128,0,0.12540820240974426,128,128,False,False,False,torch.float32,torch.float32,6.874951262590028,1.2348692410035813,0.012348692410035812,0.008717998179886485,0.0078125,0.03232831716248907,74.03853781713036,2048,0.7278271913528442,0.007960394024848938,nan
35,0,self_attn.k_proj,2048,512,128,0,40.95988082885742,128,128,False,False,False,torch.float32,torch.float32,11.10410360963517,1.633325304869085,0.01633325304869085,0.006980183481353945,0.0078125,0.4178354177534611,4.310046502193724,512,0.7818750143051147,0.00804959237575531,nan
35,0,self_attn.v_proj,2048,512,128,0,40.95988082885742,128,128,False,False,False,torch.float32,torch.float32,11.10410360963517,1.633325304869085,0.01633325304869085,0.006980183481353945,0.0078125,0.4178354177534611,4.310046502193724,512,0.78480464220047,0.0077993012964725494,nan
35,0,self_attn.q_proj,2048,4096,128,0,40.95988082885742,128,128,False,False,False,torch.float32,torch.float32,11.10410360963517,1.633325304869085,0.01633325304869085,0.006980183481353945,0.0078125,0.4178354177534611,4.310046502193724,4096,0.7829955816268921,0.00790840107947588,nan
35,1,self_attn.o_proj,4096,2048,128,0,0.13777387142181396,128,128,False,False,False,torch.float32,torch.float32,6.881336162099011,1.2798937361244287,0.012798937361244286,0.009016591784192281,0.0078125,0.018206331552711435,86.18558766642147,2048,0.7353271245956421,0.007908972911536694,nan
36,0,self_attn.k_proj,2048,512,128,0,40.959896087646484,128,128,False,False,False,torch.float32,torch.float32,11.230480193618243,1.6245733808225058,0.016245733808225055,0.0070841680674289965,0.0078125,0.42566003666648505,4.299967328272612,512,0.7868359088897705,0.007650948595255613,nan
36,0,self_attn.v_proj,2048,512,128,0,40.959896087646484,128,128,False,False,False,torch.float32,torch.float32,11.230480193618243,1.6245733808225058,0.016245733808225055,0.0070841680674289965,0.0078125,0.42566003666648505,4.299967328272612,512,0.7846875190734863,0.007629272527992725,nan
36,0,self_attn.q_proj,2048,4096,128,0,40.959896087646484,128,128,False,False,False,torch.float32,torch.float32,11.230480193618243,1.6245733808225058,0.016245733808225055,0.0070841680674289965,0.0078125,0.42566003666648505,4.299967328272612,4096,0.7827318906784058,0.007861174643039703,nan
36,1,self_attn.o_proj,4096,2048,128,0,0.15792618691921234,128,128,False,False,False,torch.float32,torch.float32,10.695226234137188,1.5632370081668037,0.015632370081668037,0.007662163826690263,0.0078125,0.034541283715309436,116.24444867806429,2048,0.7341064214706421,0.007902568206191063,nan
37,0,self_attn.k_proj,2048,512,128,0,40.95989990234375,128,128,False,False,False,torch.float32,torch.float32,10.652416861064395,1.6024131552184042,0.016024131552184042,0.007090684633844218,0.0078125,0.4247291677693552,4.492442043688523,512,0.7824804782867432,0.007753650192171335,nan
37,0,self_attn.v_proj,2048,512,128,0,40.95989990234375,128,128,False,False,False,torch.float32,torch.float32,10.652416861064395,1.6024131552184042,0.016024131552184042,0.007090684633844218,0.0078125,0.4247291677693552,4.492442043688523,512,0.7827733755111694,0.007878565229475498,nan
37,0,self_attn.q_proj,2048,4096,128,0,40.95989990234375,128,128,False,False,False,torch.float32,torch.float32,10.652416861064395,1.6024131552184042,0.016024131552184042,0.007090684633844218,0.0078125,0.4247291677693552,4.492442043688523,4096,0.7830395102500916,0.007766733877360821,nan
37,1,self_attn.o_proj,4096,2048,128,0,0.22638927400112152,128,128,False,False,False,torch.float32,torch.float32,10.85475476615737,1.5416867073641656,0.015416867073641658,0.008842001810887535,0.0078125,0.08289154650671589,40.04026684681638,2048,0.7213428020477295,0.007758232764899731,nan
38,0,self_attn.k_proj,2048,512,128,0,40.95991516113281,128,128,False,False,False,torch.float32,torch.float32,10.663047860254874,1.5754975553617938,0.015754975553617937,0.007089652984482137,0.0078125,0.43406139362379215,4.774719170773439,512,0.7838866710662842,0.007905876263976097,nan
38,0,self_attn.v_proj,2048,512,128,0,40.95991516113281,128,128,False,False,False,torch.float32,torch.float32,10.663047860254874,1.5754975553617938,0.015754975553617937,0.007089652984482137,0.0078125,0.43406139362379215,4.774719170773439,512,0.7829687595367432,0.0077849687077105045,nan
