layer,expert,module,routed_tokens,pooled_hessian,relative_weight_error,hessian_diag_max_over_median
25,116,gate_up,121,True,0.11318152397871017,9.15976166364496
25,117,gate_up,19199,False,0.115618996322155,12.39254721921331
25,118,gate_up,15631,False,0.1154361218214035,10.310023254220555
25,119,gate_up,1211,False,0.14813853800296783,10.287810302896428
25,120,gate_up,23297,False,0.11790099740028381,9.064960469455933
25,121,gate_up,25178,False,0.11464216560125351,9.560746639219253
25,122,gate_up,250,True,0.11354441195726395,9.15976166364496
25,123,gate_up,36446,False,0.11417055130004883,9.085884325423763
25,124,gate_up,14320,False,0.11948785930871964,9.607085367263322
25,125,gate_up,17210,False,0.11677403002977371,9.829680942368771
25,126,gate_up,267,True,0.11351524293422699,9.15976166364496
25,127,gate_up,34850,False,0.11635188013315201,8.640654514134313
25,0,down,9676,False,0.11258874833583832,2.532957673048561
25,1,down,5832,False,0.10429172217845917,1.1915550061221987
25,2,down,47063,False,0.10179553925991058,1.2530394725062626
25,3,down,0,True,0.09579401463270187,1.0348961129881324
25,4,down,12459,False,0.10982399433851242,1.7889841645985614
25,5,down,17,True,0.09565962851047516,1.0348961129881324
25,6,down,33163,False,0.10212301462888718,1.247476644363587
25,7,down,37,True,0.09555533528327942,1.0348961129881324
25,8,down,13513,False,0.11071226000785828,1.6303379470877157
25,9,down,2,True,0.09563764184713364,1.0348961129881324
25,10,down,103926,False,0.10011672228574753,1.2358205790517918
25,11,down,404,True,0.09576071798801422,1.0348961129881324
25,12,down,18436,False,0.10375598818063736,1.3003458938042565
25,13,down,1858,False,0.11606193333864212,1.2666000161660529
25,14,down,66,True,0.09568341076374054,1.0348961129881324
25,15,down,25916,False,0.10764551907777786,1.566138734113409
25,16,down,19091,False,0.10486511886119843,1.322840665945288
25,17,down,87,True,0.09564320743083954,1.0348961129881324
25,18,down,28518,False,0.10446494072675705,1.3362313447265728
25,19,down,5955,False,0.12083497643470764,3.7369512899357664
25,20,down,13617,False,0.10361438244581223,1.6792637883033292
25,21,down,29250,False,0.10194040834903717,1.4700239040711731
25,22,down,0,True,0.09562563896179199,1.0348961129881324
25,23,down,6843,False,0.10996274650096893,1.8393033559316017
25,24,down,26859,False,0.10280510783195496,1.211953802997111
25,25,down,3368,False,0.11147012561559677,1.3358381799095422
25,26,down,14373,False,0.11238452047109604,2.0889212947075047
25,27,down,1616,False,0.11916955560445786,1.3798041399497716
25,28,down,26645,False,0.1034194678068161,1.3429492905776965
25,29,down,1035,False,0.13815109431743622,1.9648405085862484
25,30,down,68,True,0.09571897983551025,1.0348961129881324
25,31,down,5368,False,0.11028576642274857,1.6255955739907966
25,32,down,6021,False,0.11128873378038406,1.4900957053557344
25,33,down,9709,False,0.11331883072853088,2.388772552665305
25,34,down,2158,False,0.11816152930259705,1.5053170421974507
25,35,down,2240,False,0.11753193289041519,1.3502760466535642
25,36,down,15411,False,0.10329123586416245,1.3022676105903592
25,37,down,145,True,0.0956544429063797,1.0348961129881324
25,38,down,5673,False,0.1156943142414093,3.7978576860822546
25,39,down,6,True,0.09572554379701614,1.0348961129881324
25,40,down,84943,False,0.10036028921604156,1.2538035192182717
25,41,down,23122,False,0.10218966752290726,1.4121170300619683
25,42,down,5470,False,0.10755282640457153,1.27736488244467
25,43,down,262,True,0.09579561650753021,1.0348961129881324
25,44,down,35945,False,0.10162907838821411,1.2897459676059657
25,45,down,15312,False,0.1019073948264122,1.2987161224618724
25,46,down,0,True,0.09574798494577408,1.0348961129881324
25,47,down,43351,False,0.10508465766906738,2.0534617392258445
25,48,down,1,True,0.09563300013542175,1.0348961129881324
25,49,down,11631,False,0.1051778793334961,1.2221787739634964
25,50,down,31,True,0.09586004912853241,1.0348961129881324
25,51,down,511,True,0.09568864852190018,1.0348961129881324
25,52,down,12559,False,0.10424875468015671,1.6638958244812176
25,53,down,610,False,0.16118496656417847,1.38296753125668
25,54,down,4,True,0.095629021525383,1.0348961129881324
25,55,down,35949,False,0.10139178484678268,1.3152337424546574
25,56,down,101,True,0.09567628055810928,1.0348961129881324
25,57,down,32311,False,0.1010543555021286,1.180991360189476
25,58,down,23835,False,0.1095273494720459,2.104647998314434
25,59,down,15863,False,0.10288327932357788,1.6734386607662666
25,60,down,788,False,0.14973928034305573,1.9614225601275785
25,61,down,24189,False,0.10780106484889984,1.823333033644281
25,62,down,27634,False,0.10340939462184906,1.9463975840834191
25,63,down,5222,False,0.10943355411291122,1.5220009260121472
25,64,down,3,True,0.09568209201097488,1.0348961129881324
25,65,down,25759,False,0.10180690139532089,1.2897566803246308
25,66,down,32470,False,0.1042744368314743,1.3512001184625226
25,67,down,13470,False,0.11140136420726776,1.6719039979594497
25,68,down,6837,False,0.10728588700294495,1.4366464239699805
25,69,down,1,True,0.09573981910943985,1.0348961129881324
25,70,down,18,True,0.09580430388450623,1.0348961129881324
25,71,down,36659,False,0.0998421236872673,1.2764501998186442
25,72,down,89,True,0.09575605392456055,1.0348961129881324
25,73,down,31008,False,0.10122931748628616,1.4749285094374918
25,74,down,856,False,0.14513073861598969,2.565215370241286
25,75,down,36513,False,0.1012599915266037,1.2889639723622075
25,76,down,26520,False,0.10173041373491287,1.2744945760647841
25,77,down,6490,False,0.10537281632423401,1.2686694773112186
25,78,down,33538,False,0.11134062707424164,1.989114702648157
25,79,down,45707,False,0.10090924799442291,1.3189544961680733
25,80,down,11531,False,0.10772759467363358,1.4624459379540409
25,81,down,9167,False,0.11346885561943054,2.0951670954893666
25,82,down,41622,False,0.10499366372823715,1.505328134050088
25,83,down,14565,False,0.10629381239414215,1.289380712020034
25,84,down,2085,False,0.1119329035282135,1.1566950901310098
25,85,down,4784,False,0.10401322692632675,1.3312158123489026
25,86,down,825,False,0.1513059139251709,1.2651666504945818
25,87,down,4258,False,0.10661301761865616,1.7987365203853696
25,88,down,231,True,0.09554854780435562,1.0348961129881324
25,89,down,10170,False,0.10451715439558029,1.3876795097292822
25,90,down,2,True,0.09575813263654709,1.0348961129881324
25,91,down,11902,False,0.11104778945446014,2.129227149407015
25,92,down,43255,False,0.10386915504932404,2.1380411702342377
25,93,down,28246,False,0.10347674041986465,1.3887694463594928
25,94,down,1,True,0.09608513861894608,1.0348961129881324
25,95,down,20573,False,0.1011248230934143,1.2174913878051197
25,96,down,2,True,0.0955468937754631,1.0348961129881324
25,97,down,951,False,0.14030776917934418,1.238659007155769
25,98,down,32552,False,0.1032174676656723,1.3128907163640675
25,99,down,5463,False,0.12199395895004272,1.9998056589951227
25,100,down,1,True,0.09576772898435593,1.0348961129881324
25,101,down,74538,False,0.09948853403329849,1.283800852555864
25,102,down,30233,False,0.10123945027589798,1.2226827721736848
25,103,down,34779,False,0.1054689958691597,1.5955288114581587
25,104,down,7012,False,0.11621680855751038,1.8532827070758946
25,105,down,13174,False,0.10258151590824127,1.22781370462774
25,106,down,166181,False,0.09996441006660461,1.1466320340981786
25,107,down,27157,False,0.1008996069431305,1.1859786195189137
25,108,down,161,True,0.09568378329277039,1.0348961129881324
25,109,down,32827,False,0.10064292699098587,1.2933760182492642
25,110,down,578,False,0.14628607034683228,7.867524052706173
25,111,down,38,True,0.09574101865291595,1.0348961129881324
25,112,down,53171,False,0.1023043543100357,1.3285717246646618
25,113,down,25542,False,0.10132068395614624,1.3559795213857957
25,114,down,37,True,0.0957195833325386,1.0348961129881324
25,115,down,9552,False,0.10189740359783173,1.2369464278464075
25,116,down,121,True,0.09585192799568176,1.0348961129881324
25,117,down,19199,False,0.11376271396875381,1.630340191431535
