model,rotation,layer,group,module,columns,rows,hessian_sequences,dead_columns,damp,groupsize,blocksize,act_order,hessian_diag_max_over_median,hessian_diag_mean_over_median,damp_over_median_diag,null_slot_diag_share,null_slot_baseline,rows_clipped,mean_shrink,clipped_row_null_slot_mass_share,unclipped_row_null_slot_mass_share
qwen3_8b_base,nar_k8,7,2,mlp.gate_proj,4096,12288,128,0,40.95992660522461,-1,128,True,17.666994663007817,1.6643377240003543,0.016643377240003546,0.006882473039279235,0.0078125,12288,0.6627718210220337,0.007825229316949844,nan
qwen3_8b_base,nar_k8,7,3,mlp.down_proj,12288,4096,128,0,0.34180206060409546,-1,128,True,1.8982467578021722,1.0237532280300294,0.010237532280300294,0.007800138533063824,0.0078125,4096,0.621874988079071,0.007813097909092903,nan
qwen3_8b_base,nar_k8,8,0,self_attn.k_proj,4096,1024,128,0,40.959930419921875,-1,128,True,16.8454354452893,1.5833075931946377,0.015833075931946376,0.006859150521082556,0.0078125,1024,0.6634179353713989,0.00779406214132905,nan
qwen3_8b_base,nar_k8,8,0,self_attn.v_proj,4096,1024,128,0,40.959930419921875,-1,128,True,16.8454354452893,1.5833075931946377,0.015833075931946376,0.006859150521082556,0.0078125,1024,0.6656543016433716,0.0077388836070895195,nan
qwen3_8b_base,nar_k8,8,0,self_attn.q_proj,4096,4096,128,0,40.959930419921875,-1,128,True,16.8454354452893,1.5833075931946377,0.015833075931946376,0.006859150521082556,0.0078125,4096,0.6648461818695068,0.007796980906277895,nan
qwen3_8b_base,nar_k8,8,1,self_attn.o_proj,4096,4096,128,0,0.32957613468170166,-1,128,True,5.0032607146162595,1.1191341220750153,0.011191341220750153,0.008020077888653013,0.0078125,4096,0.6594580411911011,0.007898485288023949,nan
qwen3_8b_base,nar_k8,8,2,mlp.up_proj,4096,12288,128,0,40.959938049316406,-1,128,True,16.268792336758136,1.5684492207577794,0.015684492207577793,0.00684582199104856,0.0078125,12288,0.6662492156028748,0.007816756144165993,nan
qwen3_8b_base,nar_k8,8,2,mlp.gate_proj,4096,12288,128,0,40.959938049316406,-1,128,True,16.268792336758136,1.5684492207577794,0.015684492207577793,0.00684582199104856,0.0078125,12288,0.6658569574356079,0.007772224955260754,nan
qwen3_8b_base,nar_k8,8,3,mlp.down_proj,12288,4096,128,0,0.44840607047080994,-1,128,True,1.7494549826611423,1.019982985671103,0.010199829856711029,0.007784286984821499,0.0078125,4096,0.6210961937904358,0.00779228750616312,nan
qwen3_8b_base,nar_k8,9,0,self_attn.k_proj,4096,1024,128,0,40.95994186401367,-1,128,True,14.851910405397552,1.4977599028274995,0.014977599028274996,0.006977026086963778,0.0078125,1024,0.6641405820846558,0.00784924253821373,nan
qwen3_8b_base,nar_k8,9,0,self_attn.v_proj,4096,1024,128,0,40.95994186401367,-1,128,True,14.851910405397552,1.4977599028274995,0.014977599028274996,0.006977026086963778,0.0078125,1024,0.6663574576377869,0.007791733834892511,nan
qwen3_8b_base,nar_k8,9,0,self_attn.q_proj,4096,4096,128,0,40.95994186401367,-1,128,True,14.851910405397552,1.4977599028274995,0.014977599028274996,0.006977026086963778,0.0078125,4096,0.6646020412445068,0.007852926850318909,nan
qwen3_8b_base,nar_k8,9,1,self_attn.o_proj,4096,4096,128,0,0.42215538024902344,-1,128,True,10.859566539843183,1.3281689813757724,0.013281689813757725,0.00845776806188632,0.0078125,4096,0.6560864448547363,0.007871540263295174,nan
qwen3_8b_base,nar_k8,9,2,mlp.up_proj,4096,12288,128,0,40.95994567871094,-1,128,True,15.034124810244428,1.490957050589222,0.014909570505892221,0.007021836365336182,0.0078125,12288,0.6656559705734253,0.007803754881024361,nan
qwen3_8b_base,nar_k8,9,2,mlp.gate_proj,4096,12288,128,0,40.95994567871094,-1,128,True,15.034124810244428,1.490957050589222,0.014909570505892221,0.007021836365336182,0.0078125,12288,0.6663851141929626,0.007778426166623831,nan
qwen3_8b_base,nar_k8,9,3,mlp.down_proj,12288,4096,128,0,0.5987206101417542,-1,128,True,1.7188544756124866,1.0200457344070337,0.010200457344070336,0.007775567032550113,0.0078125,4096,0.6219823956489563,0.0078077735379338264,nan
qwen3_8b_base,nar_k8,10,0,self_attn.k_proj,4096,1024,128,0,40.95994567871094,-1,128,True,14.114195344972401,1.4365970691087078,0.014365970691087079,0.007114045337378825,0.0078125,1024,0.6659374833106995,0.007713071070611477,nan
qwen3_8b_base,nar_k8,10,0,self_attn.v_proj,4096,1024,128,0,40.95994567871094,-1,128,True,14.114195344972401,1.4365970691087078,0.014365970691087079,0.007114045337378825,0.0078125,1024,0.66796875,0.007781533524394035,nan
qwen3_8b_base,nar_k8,10,0,self_attn.q_proj,4096,4096,128,0,40.95994567871094,-1,128,True,14.114195344972401,1.4365970691087078,0.014365970691087079,0.007114045337378825,0.0078125,4096,0.6634228229522705,0.007711844518780708,nan
qwen3_8b_base,nar_k8,10,1,self_attn.o_proj,4096,4096,128,0,0.708137571811676,-1,128,True,5.317231613781691,1.2618602459183825,0.012618602459183826,0.007506258180073008,0.0078125,4096,0.6465063095092773,0.007861357182264328,nan
qwen3_8b_base,nar_k8,10,2,mlp.up_proj,4096,12288,128,0,40.9599494934082,-1,128,True,15.162812853562764,1.4717945024463681,0.01471794502446368,0.007116078965907056,0.0078125,12288,0.6656225919723511,0.0078107621520757675,nan
qwen3_8b_base,nar_k8,10,2,mlp.gate_proj,4096,12288,128,0,40.9599494934082,-1,128,True,15.162812853562764,1.4717945024463681,0.01471794502446368,0.007116078965907056,0.0078125,12288,0.6658952236175537,0.0078104338608682156,nan
qwen3_8b_base,nar_k8,10,3,mlp.down_proj,12288,4096,128,0,0.6127895712852478,-1,128,True,1.8195826219511608,1.0321852201755535,0.010321852201755534,0.007846600763666202,0.0078125,4096,0.6242871284484863,0.007852111011743546,nan
qwen3_8b_base,nar_k8,11,0,self_attn.k_proj,4096,1024,128,0,40.9599494934082,-1,128,True,15.390644833048349,1.4666355457180722,0.014666355457180721,0.007064517627081427,0.0078125,1024,0.6662011742591858,0.007685024756938219,nan
qwen3_8b_base,nar_k8,11,0,self_attn.v_proj,4096,1024,128,0,40.9599494934082,-1,128,True,15.390644833048349,1.4666355457180722,0.014666355457180721,0.007064517627081427,0.0078125,1024,0.6638965010643005,0.007718469016253948,nan
qwen3_8b_base,nar_k8,11,0,self_attn.q_proj,4096,4096,128,0,40.9599494934082,-1,128,True,15.390644833048349,1.4666355457180722,0.014666355457180721,0.007064517627081427,0.0078125,4096,0.6645922660827637,0.0077683646231889725,nan
qwen3_8b_base,nar_k8,11,1,self_attn.o_proj,4096,4096,128,0,0.6234771013259888,-1,128,True,8.030025934986364,1.1389817284341557,0.011389817284341557,0.007590446138962381,0.0078125,4096,0.6574048399925232,0.007786889560520649,nan
qwen3_8b_base,nar_k8,11,2,mlp.up_proj,4096,12288,128,0,40.95995330810547,-1,128,True,15.365255456786816,1.4669175823608938,0.014669175823608938,0.007126977863049598,0.0078125,12288,0.6653695106506348,0.00781766977161169,nan
qwen3_8b_base,nar_k8,11,2,mlp.gate_proj,4096,12288,128,0,40.95995330810547,-1,128,True,15.365255456786816,1.4669175823608938,0.014669175823608938,0.007126977863049598,0.0078125,12288,0.6661133170127869,0.007802519015967846,nan
qwen3_8b_base,nar_k8,11,3,mlp.down_proj,12288,4096,128,0,0.5742185711860657,-1,128,True,2.410081131374903,1.0262811438925252,0.01026281143892525,0.007815279107172736,0.0078125,4096,0.6225293278694153,0.007809754926711321,nan
qwen3_8b_base,nar_k8,12,0,self_attn.k_proj,4096,1024,128,0,40.95995330810547,-1,128,True,15.293216497900307,1.4511330631883708,0.01451133063188371,0.007125890542777167,0.0078125,1024,0.6663964986801147,0.007606731727719307,nan
qwen3_8b_base,nar_k8,12,0,self_attn.v_proj,4096,1024,128,0,40.95995330810547,-1,128,True,15.293216497900307,1.4511330631883708,0.01451133063188371,0.007125890542777167,0.0078125,1024,0.6652734875679016,0.007765512447804213,nan
